iso_code,country,date,owid_diabetes_prevalence
ABW,Aruba,2020-10-06,11.62
ABW,Aruba,2020-10-07,11.62
ABW,Aruba,2020-10-08,11.62
ABW,Aruba,2020-10-09,11.62
ABW,Aruba,2020-10-10,11.62
AFG,Afghanistan,2019-12-31,9.59
AFG,Afghanistan,2020-01-01,9.59
AFG,Afghanistan,2020-01-02,9.59
AFG,Afghanistan,2020-01-03,9.59
AFG,Afghanistan,2020-01-04,9.59
AFG,Afghanistan,2020-01-05,9.59
AFG,Afghanistan,2020-01-06,9.59
AFG,Afghanistan,2020-01-07,9.59
AFG,Afghanistan,2020-01-08,9.59
AFG,Afghanistan,2020-01-09,9.59
AFG,Afghanistan,2020-01-10,9.59
AFG,Afghanistan,2020-01-11,9.59
AFG,Afghanistan,2020-01-12,9.59
AFG,Afghanistan,2020-01-13,9.59
AFG,Afghanistan,2020-01-14,9.59
AFG,Afghanistan,2020-01-15,9.59
AFG,Afghanistan,2020-01-16,9.59
AFG,Afghanistan,2020-01-17,9.59
AFG,Afghanistan,2020-01-18,9.59
AFG,Afghanistan,2020-01-19,9.59
AFG,Afghanistan,2020-01-20,9.59
AFG,Afghanistan,2020-01-21,9.59
AFG,Afghanistan,2020-01-22,9.59
AFG,Afghanistan,2020-01-23,9.59
AFG,Afghanistan,2020-01-24,9.59
AFG,Afghanistan,2020-01-25,9.59
AFG,Afghanistan,2020-01-26,9.59
AFG,Afghanistan,2020-01-27,9.59
AFG,Afghanistan,2020-01-28,9.59
AFG,Afghanistan,2020-01-29,9.59
AFG,Afghanistan,2020-01-30,9.59
AFG,Afghanistan,2020-01-31,9.59
AFG,Afghanistan,2020-02-01,9.59
AFG,Afghanistan,2020-02-02,9.59
AFG,Afghanistan,2020-02-03,9.59
AFG,Afghanistan,2020-02-04,9.59
AFG,Afghanistan,2020-02-05,9.59
AFG,Afghanistan,2020-02-06,9.59
AFG,Afghanistan,2020-02-07,9.59
AFG,Afghanistan,2020-02-08,9.59
AFG,Afghanistan,2020-02-09,9.59
AFG,Afghanistan,2020-02-10,9.59
AFG,Afghanistan,2020-02-11,9.59
AFG,Afghanistan,2020-02-12,9.59
AFG,Afghanistan,2020-02-13,9.59
AFG,Afghanistan,2020-02-14,9.59
AFG,Afghanistan,2020-02-15,9.59
AFG,Afghanistan,2020-02-16,9.59
AFG,Afghanistan,2020-02-17,9.59
AFG,Afghanistan,2020-02-18,9.59
AFG,Afghanistan,2020-02-19,9.59
AFG,Afghanistan,2020-02-20,9.59
AFG,Afghanistan,2020-02-21,9.59
AFG,Afghanistan,2020-02-22,9.59
AFG,Afghanistan,2020-02-23,9.59
AFG,Afghanistan,2020-02-24,9.59
AFG,Afghanistan,2020-02-25,9.59
AFG,Afghanistan,2020-02-26,9.59
AFG,Afghanistan,2020-02-27,9.59
AFG,Afghanistan,2020-02-28,9.59
AFG,Afghanistan,2020-02-29,9.59
AFG,Afghanistan,2020-03-01,9.59
AFG,Afghanistan,2020-03-02,9.59
AFG,Afghanistan,2020-03-03,9.59
AFG,Afghanistan,2020-03-04,9.59
AFG,Afghanistan,2020-03-05,9.59
AFG,Afghanistan,2020-03-06,9.59
AFG,Afghanistan,2020-03-07,9.59
AFG,Afghanistan,2020-03-08,9.59
AFG,Afghanistan,2020-03-09,9.59
AFG,Afghanistan,2020-03-10,9.59
AFG,Afghanistan,2020-03-11,9.59
AFG,Afghanistan,2020-03-12,9.59
AFG,Afghanistan,2020-03-13,9.59
AFG,Afghanistan,2020-03-14,9.59
AFG,Afghanistan,2020-03-15,9.59
AFG,Afghanistan,2020-03-16,9.59
AFG,Afghanistan,2020-03-17,9.59
AFG,Afghanistan,2020-03-18,9.59
AFG,Afghanistan,2020-03-19,9.59
AFG,Afghanistan,2020-03-20,9.59
AFG,Afghanistan,2020-03-21,9.59
AFG,Afghanistan,2020-03-22,9.59
AFG,Afghanistan,2020-03-23,9.59
AFG,Afghanistan,2020-03-24,9.59
AFG,Afghanistan,2020-03-25,9.59
AFG,Afghanistan,2020-03-26,9.59
AFG,Afghanistan,2020-03-27,9.59
AFG,Afghanistan,2020-03-28,9.59
AFG,Afghanistan,2020-03-29,9.59
AFG,Afghanistan,2020-03-30,9.59
AFG,Afghanistan,2020-03-31,9.59
AFG,Afghanistan,2020-04-01,9.59
AFG,Afghanistan,2020-04-02,9.59
AFG,Afghanistan,2020-04-03,9.59
AFG,Afghanistan,2020-04-04,9.59
AFG,Afghanistan,2020-04-05,9.59
AFG,Afghanistan,2020-04-06,9.59
AFG,Afghanistan,2020-04-07,9.59
AFG,Afghanistan,2020-04-08,9.59
AFG,Afghanistan,2020-04-09,9.59
AFG,Afghanistan,2020-04-10,9.59
AFG,Afghanistan,2020-04-11,9.59
AFG,Afghanistan,2020-04-12,9.59
AFG,Afghanistan,2020-04-13,9.59
AFG,Afghanistan,2020-04-14,9.59
AFG,Afghanistan,2020-04-15,9.59
AFG,Afghanistan,2020-04-16,9.59
AFG,Afghanistan,2020-04-17,9.59
AFG,Afghanistan,2020-04-18,9.59
AFG,Afghanistan,2020-04-19,9.59
AFG,Afghanistan,2020-04-20,9.59
AFG,Afghanistan,2020-04-21,9.59
AFG,Afghanistan,2020-04-22,9.59
AFG,Afghanistan,2020-04-23,9.59
AFG,Afghanistan,2020-04-24,9.59
AFG,Afghanistan,2020-04-25,9.59
AFG,Afghanistan,2020-04-26,9.59
AFG,Afghanistan,2020-04-27,9.59
AFG,Afghanistan,2020-04-28,9.59
AFG,Afghanistan,2020-04-29,9.59
AFG,Afghanistan,2020-04-30,9.59
AFG,Afghanistan,2020-05-01,9.59
AFG,Afghanistan,2020-05-02,9.59
AFG,Afghanistan,2020-05-03,9.59
AFG,Afghanistan,2020-05-04,9.59
AFG,Afghanistan,2020-05-05,9.59
AFG,Afghanistan,2020-05-06,9.59
AFG,Afghanistan,2020-05-07,9.59
AFG,Afghanistan,2020-05-08,9.59
AFG,Afghanistan,2020-05-09,9.59
AFG,Afghanistan,2020-05-10,9.59
AFG,Afghanistan,2020-05-11,9.59
AFG,Afghanistan,2020-05-12,9.59
AFG,Afghanistan,2020-05-13,9.59
AFG,Afghanistan,2020-05-14,9.59
AFG,Afghanistan,2020-05-15,9.59
AFG,Afghanistan,2020-05-16,9.59
AFG,Afghanistan,2020-05-17,9.59
AFG,Afghanistan,2020-05-18,9.59
AFG,Afghanistan,2020-05-19,9.59
AFG,Afghanistan,2020-05-20,9.59
AFG,Afghanistan,2020-05-21,9.59
AFG,Afghanistan,2020-05-22,9.59
AFG,Afghanistan,2020-05-23,9.59
AFG,Afghanistan,2020-05-24,9.59
AFG,Afghanistan,2020-05-25,9.59
AFG,Afghanistan,2020-05-26,9.59
AFG,Afghanistan,2020-05-27,9.59
AFG,Afghanistan,2020-05-28,9.59
AFG,Afghanistan,2020-05-29,9.59
AFG,Afghanistan,2020-05-30,9.59
AFG,Afghanistan,2020-05-31,9.59
AFG,Afghanistan,2020-06-01,9.59
AFG,Afghanistan,2020-06-02,9.59
AFG,Afghanistan,2020-06-03,9.59
AFG,Afghanistan,2020-06-04,9.59
AFG,Afghanistan,2020-06-05,9.59
AFG,Afghanistan,2020-06-06,9.59
AFG,Afghanistan,2020-06-07,9.59
AFG,Afghanistan,2020-06-08,9.59
AFG,Afghanistan,2020-06-09,9.59
AFG,Afghanistan,2020-06-10,9.59
AFG,Afghanistan,2020-06-11,9.59
AFG,Afghanistan,2020-06-12,9.59
AFG,Afghanistan,2020-06-13,9.59
AFG,Afghanistan,2020-06-14,9.59
AFG,Afghanistan,2020-06-15,9.59
AFG,Afghanistan,2020-06-16,9.59
AFG,Afghanistan,2020-06-17,9.59
AFG,Afghanistan,2020-06-18,9.59
AFG,Afghanistan,2020-06-19,9.59
AFG,Afghanistan,2020-06-20,9.59
AFG,Afghanistan,2020-06-21,9.59
AFG,Afghanistan,2020-06-22,9.59
AFG,Afghanistan,2020-06-23,9.59
AFG,Afghanistan,2020-06-24,9.59
AFG,Afghanistan,2020-06-25,9.59
AFG,Afghanistan,2020-06-26,9.59
AFG,Afghanistan,2020-06-27,9.59
AFG,Afghanistan,2020-06-28,9.59
AFG,Afghanistan,2020-06-29,9.59
AFG,Afghanistan,2020-06-30,9.59
AFG,Afghanistan,2020-07-01,9.59
AFG,Afghanistan,2020-07-02,9.59
AFG,Afghanistan,2020-07-03,9.59
AFG,Afghanistan,2020-07-04,9.59
AFG,Afghanistan,2020-07-05,9.59
AFG,Afghanistan,2020-07-06,9.59
AFG,Afghanistan,2020-07-07,9.59
AFG,Afghanistan,2020-07-08,9.59
AFG,Afghanistan,2020-07-09,9.59
AFG,Afghanistan,2020-07-10,9.59
AFG,Afghanistan,2020-07-11,9.59
AFG,Afghanistan,2020-07-12,9.59
AFG,Afghanistan,2020-07-13,9.59
AFG,Afghanistan,2020-07-14,9.59
AFG,Afghanistan,2020-07-15,9.59
AFG,Afghanistan,2020-07-16,9.59
AFG,Afghanistan,2020-07-17,9.59
AFG,Afghanistan,2020-07-18,9.59
AFG,Afghanistan,2020-07-19,9.59
AFG,Afghanistan,2020-07-20,9.59
AFG,Afghanistan,2020-07-21,9.59
AFG,Afghanistan,2020-07-22,9.59
AFG,Afghanistan,2020-07-23,9.59
AFG,Afghanistan,2020-07-24,9.59
AFG,Afghanistan,2020-07-25,9.59
AFG,Afghanistan,2020-07-26,9.59
AFG,Afghanistan,2020-07-27,9.59
AFG,Afghanistan,2020-07-28,9.59
AFG,Afghanistan,2020-07-29,9.59
AFG,Afghanistan,2020-07-30,9.59
AFG,Afghanistan,2020-07-31,9.59
AFG,Afghanistan,2020-08-01,9.59
AFG,Afghanistan,2020-08-02,9.59
AFG,Afghanistan,2020-08-03,9.59
AFG,Afghanistan,2020-08-04,9.59
AFG,Afghanistan,2020-08-05,9.59
AFG,Afghanistan,2020-08-06,9.59
AFG,Afghanistan,2020-08-07,9.59
AFG,Afghanistan,2020-08-08,9.59
AFG,Afghanistan,2020-08-09,9.59
AFG,Afghanistan,2020-08-10,9.59
AFG,Afghanistan,2020-08-11,9.59
AFG,Afghanistan,2020-08-12,9.59
AFG,Afghanistan,2020-08-13,9.59
AFG,Afghanistan,2020-08-14,9.59
AFG,Afghanistan,2020-08-15,9.59
AFG,Afghanistan,2020-08-16,9.59
AFG,Afghanistan,2020-08-17,9.59
AFG,Afghanistan,2020-08-18,9.59
AFG,Afghanistan,2020-08-19,9.59
AFG,Afghanistan,2020-08-20,9.59
AFG,Afghanistan,2020-08-21,9.59
AFG,Afghanistan,2020-08-22,9.59
AFG,Afghanistan,2020-08-23,9.59
AFG,Afghanistan,2020-08-24,9.59
AFG,Afghanistan,2020-08-25,9.59
AFG,Afghanistan,2020-08-26,9.59
AFG,Afghanistan,2020-08-27,9.59
AFG,Afghanistan,2020-08-28,9.59
AFG,Afghanistan,2020-08-29,9.59
AFG,Afghanistan,2020-08-30,9.59
AFG,Afghanistan,2020-08-31,9.59
AFG,Afghanistan,2020-09-01,9.59
AFG,Afghanistan,2020-09-02,9.59
AFG,Afghanistan,2020-09-03,9.59
AFG,Afghanistan,2020-09-04,9.59
AFG,Afghanistan,2020-09-05,9.59
AFG,Afghanistan,2020-09-06,9.59
AFG,Afghanistan,2020-09-07,9.59
AFG,Afghanistan,2020-09-08,9.59
AFG,Afghanistan,2020-09-09,9.59
AFG,Afghanistan,2020-09-10,9.59
AFG,Afghanistan,2020-09-11,9.59
AFG,Afghanistan,2020-09-12,9.59
AFG,Afghanistan,2020-09-13,9.59
AFG,Afghanistan,2020-09-14,9.59
AFG,Afghanistan,2020-09-15,9.59
AFG,Afghanistan,2020-09-16,9.59
