iso_code,country,date,owid_gdp_per_capita
ABW,Aruba,2020-08-16,35973.781
ABW,Aruba,2020-08-17,35973.781
ABW,Aruba,2020-08-18,35973.781
ABW,Aruba,2020-08-19,35973.781
ABW,Aruba,2020-08-20,35973.781
ABW,Aruba,2020-08-21,35973.781
ABW,Aruba,2020-08-22,35973.781
ABW,Aruba,2020-08-23,35973.781
ABW,Aruba,2020-08-24,35973.781
ABW,Aruba,2020-08-25,35973.781
ABW,Aruba,2020-08-26,35973.781
ABW,Aruba,2020-08-27,35973.781
ABW,Aruba,2020-08-28,35973.781
ABW,Aruba,2020-08-29,35973.781
ABW,Aruba,2020-08-30,35973.781
ABW,Aruba,2020-08-31,35973.781
ABW,Aruba,2020-09-01,35973.781
ABW,Aruba,2020-09-02,35973.781
ABW,Aruba,2020-09-03,35973.781
ABW,Aruba,2020-09-04,35973.781
ABW,Aruba,2020-09-05,35973.781
ABW,Aruba,2020-09-06,35973.781
ABW,Aruba,2020-09-07,35973.781
ABW,Aruba,2020-09-08,35973.781
ABW,Aruba,2020-09-09,35973.781
ABW,Aruba,2020-09-10,35973.781
ABW,Aruba,2020-09-11,35973.781
ABW,Aruba,2020-09-12,35973.781
ABW,Aruba,2020-09-13,35973.781
ABW,Aruba,2020-09-14,35973.781
ABW,Aruba,2020-09-15,35973.781
ABW,Aruba,2020-09-16,35973.781
ABW,Aruba,2020-09-17,35973.781
ABW,Aruba,2020-09-18,35973.781
ABW,Aruba,2020-09-19,35973.781
ABW,Aruba,2020-09-20,35973.781
ABW,Aruba,2020-09-21,35973.781
ABW,Aruba,2020-09-22,35973.781
ABW,Aruba,2020-09-23,35973.781
ABW,Aruba,2020-09-24,35973.781
ABW,Aruba,2020-09-25,35973.781
ABW,Aruba,2020-09-26,35973.781
ABW,Aruba,2020-09-27,35973.781
ABW,Aruba,2020-09-28,35973.781
ABW,Aruba,2020-09-29,35973.781
ABW,Aruba,2020-09-30,35973.781
ABW,Aruba,2020-10-01,35973.781
ABW,Aruba,2020-10-02,35973.781
ABW,Aruba,2020-10-03,35973.781
ABW,Aruba,2020-10-04,35973.781
ABW,Aruba,2020-10-05,35973.781
ABW,Aruba,2020-10-06,35973.781
ABW,Aruba,2020-10-07,35973.781
ABW,Aruba,2020-10-08,35973.781
ABW,Aruba,2020-10-09,35973.781
ABW,Aruba,2020-10-10,35973.781
ABW,Aruba,2020-10-11,35973.781
ABW,Aruba,2020-10-12,35973.781
