iso_code,country,date,owid_weekly_excess_mortality_p_score_0_14
AUT,Austria,2020-01-05,-84.0
AUT,Austria,2020-01-12,14.0
AUT,Austria,2020-01-19,100.0
AUT,Austria,2020-01-26,59.0
AUT,Austria,2020-02-02,-13.0
AUT,Austria,2020-02-09,11.0
AUT,Austria,2020-02-16,-71.0
AUT,Austria,2020-02-23,-17.0
AUT,Austria,2020-03-01,34.0
AUT,Austria,2020-03-08,-29.0
AUT,Austria,2020-03-15,55.0
AUT,Austria,2020-03-22,45.0
AUT,Austria,2020-03-29,13.0
AUT,Austria,2020-04-05,-17.0
AUT,Austria,2020-04-12,-47.0
AUT,Austria,2020-04-19,-6.0
AUT,Austria,2020-04-26,39.0
AUT,Austria,2020-05-03,-31.0
AUT,Austria,2020-05-10,-53.0
AUT,Austria,2020-05-17,43.0
AUT,Austria,2020-05-24,-30.0
AUT,Austria,2020-05-31,-56.0
AUT,Austria,2020-06-07,13.0
AUT,Austria,2020-06-14,-56.0
AUT,Austria,2020-06-21,-31.0
AUT,Austria,2020-06-28,-20.0
AUT,Austria,2020-07-05,9.0
AUT,Austria,2020-07-12,107.0
AUT,Austria,2020-07-19,-69.0
AUT,Austria,2020-07-26,-38.0
AUT,Austria,2020-08-02,15.0
AUT,Austria,2020-08-09,40.0
AUT,Austria,2020-08-16,49.0
AUT,Austria,2020-08-23,55.0
AUT,Austria,2020-08-30,-44.0
AUT,Austria,2020-09-06,-42.0
AUT,Austria,2020-09-13,-8.0
AUT,Austria,2020-09-20,-32.0
AUT,Austria,2020-09-27,-14.0
AUT,Austria,2020-10-04,-20.0
AUT,Austria,2020-10-11,-21.0
BEL,Belgium,2020-01-05,-17.0
BEL,Belgium,2020-01-12,10.0
BEL,Belgium,2020-01-19,-9.0
BEL,Belgium,2020-01-26,20.0
BEL,Belgium,2020-02-02,-75.0
BEL,Belgium,2020-02-09,-45.0
BEL,Belgium,2020-02-16,-69.0
BEL,Belgium,2020-02-23,-42.0
BEL,Belgium,2020-03-01,-73.0
BEL,Belgium,2020-03-08,-66.0
BEL,Belgium,2020-03-15,-51.0
BEL,Belgium,2020-03-22,-44.0
BEL,Belgium,2020-03-29,-38.0
BEL,Belgium,2020-04-05,-27.0
BEL,Belgium,2020-04-12,-69.0
BEL,Belgium,2020-04-19,-75.0
BEL,Belgium,2020-04-26,-88.0
BEL,Belgium,2020-05-03,-55.0
BEL,Belgium,2020-05-10,-70.0
BEL,Belgium,2020-05-17,-72.0
BEL,Belgium,2020-05-24,-79.0
BEL,Belgium,2020-05-31,-79.0
BEL,Belgium,2020-06-07,-100.0
BEL,Belgium,2020-06-14,-73.0
BEL,Belgium,2020-06-21,-62.0
BEL,Belgium,2020-06-28,-90.0
BEL,Belgium,2020-07-05,-71.0
BEL,Belgium,2020-07-12,-77.0
BEL,Belgium,2020-07-19,-38.0
BEL,Belgium,2020-07-26,-81.0
BEL,Belgium,2020-08-02,-91.0
BEL,Belgium,2020-08-09,-87.0
BEL,Belgium,2020-08-16,-38.0
BEL,Belgium,2020-08-23,-65.0
BEL,Belgium,2020-08-30,-64.0
BEL,Belgium,2020-09-06,-66.0
BEL,Belgium,2020-09-13,-35.0
BEL,Belgium,2020-09-20,-77.0
BEL,Belgium,2020-09-27,-79.0
BEL,Belgium,2020-10-04,-78.0
BGR,Bulgaria,2020-01-05,-22.0
BGR,Bulgaria,2020-01-12,25.0
BGR,Bulgaria,2020-01-19,-37.0
BGR,Bulgaria,2020-01-26,-10.0
BGR,Bulgaria,2020-02-02,-28.0
BGR,Bulgaria,2020-02-09,63.0
BGR,Bulgaria,2020-02-16,-15.0
BGR,Bulgaria,2020-02-23,-17.0
BGR,Bulgaria,2020-03-01,7.0
BGR,Bulgaria,2020-03-08,-45.0
BGR,Bulgaria,2020-03-15,5.0
BGR,Bulgaria,2020-03-22,-6.0
BGR,Bulgaria,2020-03-29,-46.0
BGR,Bulgaria,2020-04-05,-53.0
BGR,Bulgaria,2020-04-12,-65.0
BGR,Bulgaria,2020-04-19,-27.0
BGR,Bulgaria,2020-04-26,27.0
BGR,Bulgaria,2020-05-03,-7.0
BGR,Bulgaria,2020-05-10,-22.0
BGR,Bulgaria,2020-05-17,-23.0
BGR,Bulgaria,2020-05-24,-26.0
BGR,Bulgaria,2020-05-31,-11.0
BGR,Bulgaria,2020-06-07,73.0
BGR,Bulgaria,2020-06-14,-35.0
BGR,Bulgaria,2020-06-21,-28.0
BGR,Bulgaria,2020-06-28,-44.0
BGR,Bulgaria,2020-07-05,-44.0
BGR,Bulgaria,2020-07-12,-86.0
BGR,Bulgaria,2020-07-19,0.0
BGR,Bulgaria,2020-07-26,0.0
BGR,Bulgaria,2020-08-02,5.0
BGR,Bulgaria,2020-08-09,-61.0
BGR,Bulgaria,2020-08-16,-31.0
BGR,Bulgaria,2020-08-23,-6.0
BGR,Bulgaria,2020-08-30,8.0
BGR,Bulgaria,2020-09-06,-68.0
BGR,Bulgaria,2020-09-13,-10.0
BGR,Bulgaria,2020-09-20,-27.0
BGR,Bulgaria,2020-09-27,-4.0
BGR,Bulgaria,2020-10-04,-37.0
BGR,Bulgaria,2020-10-11,-42.0
CAN,Canada,2020-01-05,0.0
CAN,Canada,2020-01-12,9.0
CAN,Canada,2020-01-19,-1.0
CAN,Canada,2020-01-26,-4.0
CAN,Canada,2020-02-02,-6.0
CAN,Canada,2020-02-09,3.0
CAN,Canada,2020-02-16,0.0
CAN,Canada,2020-02-23,-10.0
CAN,Canada,2020-03-01,5.0
CAN,Canada,2020-03-08,1.0
CAN,Canada,2020-03-15,14.0
CAN,Canada,2020-03-22,3.0
CAN,Canada,2020-03-29,14.0
CAN,Canada,2020-04-05,4.0
CAN,Canada,2020-04-12,14.0
CAN,Canada,2020-04-19,-2.0
CAN,Canada,2020-04-26,6.0
CAN,Canada,2020-05-03,-8.0
CAN,Canada,2020-05-10,7.0
CAN,Canada,2020-05-17,8.0
CAN,Canada,2020-05-24,2.0
CAN,Canada,2020-05-31,8.0
CAN,Canada,2020-06-07,10.0
CAN,Canada,2020-06-14,8.0
CAN,Canada,2020-06-21,-2.0
CAN,Canada,2020-06-28,-4.0
CAN,Canada,2020-07-05,5.0
CAN,Canada,2020-07-12,10.0
CAN,Canada,2020-07-19,19.0
CAN,Canada,2020-07-26,-4.0
CHE,Switzerland,2020-01-05,-3.0
CHE,Switzerland,2020-01-12,8.0
CHE,Switzerland,2020-01-19,118.0
CHE,Switzerland,2020-01-26,-21.0
CHE,Switzerland,2020-02-02,-12.0
CHE,Switzerland,2020-02-09,58.0
CHE,Switzerland,2020-02-16,16.0
CHE,Switzerland,2020-02-23,-13.0
CHE,Switzerland,2020-03-01,-43.0
CHE,Switzerland,2020-03-08,-10.0
CHE,Switzerland,2020-03-15,14.0
CHE,Switzerland,2020-03-22,10.0
CHE,Switzerland,2020-03-29,-3.0
CHE,Switzerland,2020-04-05,-20.0
CHE,Switzerland,2020-04-12,-29.0
CHE,Switzerland,2020-04-19,-3.0
CHE,Switzerland,2020-04-26,22.0
CHE,Switzerland,2020-05-03,-26.0
CHE,Switzerland,2020-05-10,-19.0
CHE,Switzerland,2020-05-17,14.0
CHE,Switzerland,2020-05-24,-15.0
CHE,Switzerland,2020-05-31,-19.0
CHE,Switzerland,2020-06-07,-8.0
CHE,Switzerland,2020-06-14,16.0
CHE,Switzerland,2020-06-21,-17.0
CHE,Switzerland,2020-06-28,-34.0
CHE,Switzerland,2020-07-05,32.0
CHE,Switzerland,2020-07-12,3.0
CHE,Switzerland,2020-07-19,-33.0
CHE,Switzerland,2020-07-26,94.0
CHE,Switzerland,2020-08-02,-62.0
CHE,Switzerland,2020-08-09,-29.0
CHE,Switzerland,2020-08-16,-67.0
CHE,Switzerland,2020-08-23,-40.0
CHE,Switzerland,2020-08-30,-6.0
CHE,Switzerland,2020-09-06,133.0
CHE,Switzerland,2020-09-13,-29.0
CHE,Switzerland,2020-09-20,14.0
CHE,Switzerland,2020-09-27,67.0
CHE,Switzerland,2020-10-04,-25.0
CHE,Switzerland,2020-10-11,-9.0
CHE,Switzerland,2020-10-18,-51.0
CHL,Chile,2020-01-05,-15.0
CHL,Chile,2020-01-12,-43.0
CHL,Chile,2020-01-19,-3.0
CHL,Chile,2020-01-26,-28.0
CHL,Chile,2020-02-02,-15.0
CHL,Chile,2020-02-09,-22.0
CHL,Chile,2020-02-16,-39.0
CHL,Chile,2020-02-23,-16.0
CHL,Chile,2020-03-01,-19.0
CHL,Chile,2020-03-08,1.0
CHL,Chile,2020-03-15,-34.0
CHL,Chile,2020-03-22,-11.0
CHL,Chile,2020-03-29,-34.0
CHL,Chile,2020-04-05,-22.0
CHL,Chile,2020-04-12,-42.0
CHL,Chile,2020-04-19,-9.0
CHL,Chile,2020-04-26,-13.0
CHL,Chile,2020-05-03,-39.0
CHL,Chile,2020-05-10,-12.0
CHL,Chile,2020-05-17,-27.0
CHL,Chile,2020-05-24,-25.0
CHL,Chile,2020-05-31,-29.0
CHL,Chile,2020-06-07,-29.0
CHL,Chile,2020-06-14,-21.0
CHL,Chile,2020-06-21,-15.0
CHL,Chile,2020-06-28,-21.0
CHL,Chile,2020-07-05,-30.0
CHL,Chile,2020-07-12,-16.0
CHL,Chile,2020-07-19,-14.0
CHL,Chile,2020-07-26,-57.0
CHL,Chile,2020-08-02,-47.0
CHL,Chile,2020-08-09,-25.0
CHL,Chile,2020-08-16,-19.0
CHL,Chile,2020-08-23,-29.0
CHL,Chile,2020-08-30,-23.0
CHL,Chile,2020-09-06,-26.0
CHL,Chile,2020-09-13,-22.0
CHL,Chile,2020-09-20,-29.0
CHL,Chile,2020-09-27,-18.0
CHL,Chile,2020-10-04,-6.0
CHL,Chile,2020-10-11,-40.0
CHL,Chile,2020-10-18,-24.0
CZE,Czech Republic,2020-01-05,14.0
CZE,Czech Republic,2020-01-12,3.0
CZE,Czech Republic,2020-01-19,-24.0
CZE,Czech Republic,2020-01-26,11.0
CZE,Czech Republic,2020-02-02,-40.0
CZE,Czech Republic,2020-02-09,-27.0
CZE,Czech Republic,2020-02-16,5.0
CZE,Czech Republic,2020-02-23,-32.0
CZE,Czech Republic,2020-03-01,11.0
CZE,Czech Republic,2020-03-08,-33.0
CZE,Czech Republic,2020-03-15,-11.0
CZE,Czech Republic,2020-03-22,2.0
CZE,Czech Republic,2020-03-29,-5.0
CZE,Czech Republic,2020-04-05,-31.0
CZE,Czech Republic,2020-04-12,-23.0
CZE,Czech Republic,2020-04-19,-65.0
CZE,Czech Republic,2020-04-26,14.0
CZE,Czech Republic,2020-05-03,14.0
CZE,Czech Republic,2020-05-10,-42.0
CZE,Czech Republic,2020-05-17,-34.0
CZE,Czech Republic,2020-05-24,59.0
CZE,Czech Republic,2020-05-31,107.0
CZE,Czech Republic,2020-06-07,-67.0
CZE,Czech Republic,2020-06-14,-15.0
CZE,Czech Republic,2020-06-21,-41.0
CZE,Czech Republic,2020-06-28,-24.0
CZE,Czech Republic,2020-07-05,0.0
CZE,Czech Republic,2020-07-12,-31.0
CZE,Czech Republic,2020-07-19,-17.0
CZE,Czech Republic,2020-07-26,6.0
CZE,Czech Republic,2020-08-02,-17.0
CZE,Czech Republic,2020-08-09,6.0
CZE,Czech Republic,2020-08-16,-43.0
CZE,Czech Republic,2020-08-23,-5.0
CZE,Czech Republic,2020-08-30,-26.0
CZE,Czech Republic,2020-09-06,29.0
DEU,Germany,2020-01-05,-12.0
