iso_code,country,date,owid_weekly_deaths_2015
AUT,Austria,2020-01-05,1704.0
AUT,Austria,2020-01-12,1768.0
AUT,Austria,2020-01-19,1837.0
AUT,Austria,2020-01-26,1792.0
AUT,Austria,2020-02-02,1837.0
AUT,Austria,2020-02-09,1926.0
AUT,Austria,2020-02-16,1992.0
AUT,Austria,2020-02-23,2020.0
AUT,Austria,2020-03-01,1883.0
AUT,Austria,2020-03-08,1846.0
AUT,Austria,2020-03-15,1763.0
AUT,Austria,2020-03-22,1696.0
AUT,Austria,2020-03-29,1725.0
AUT,Austria,2020-04-05,1604.0
AUT,Austria,2020-04-12,1563.0
AUT,Austria,2020-04-19,1614.0
AUT,Austria,2020-04-26,1547.0
AUT,Austria,2020-05-03,1453.0
AUT,Austria,2020-05-10,1452.0
AUT,Austria,2020-05-17,1461.0
AUT,Austria,2020-05-24,1396.0
AUT,Austria,2020-05-31,1304.0
AUT,Austria,2020-06-07,1437.0
AUT,Austria,2020-06-14,1502.0
AUT,Austria,2020-06-21,1285.0
AUT,Austria,2020-06-28,1374.0
AUT,Austria,2020-07-05,1487.0
AUT,Austria,2020-07-12,1476.0
AUT,Austria,2020-07-19,1475.0
AUT,Austria,2020-07-26,1633.0
AUT,Austria,2020-08-02,1446.0
AUT,Austria,2020-08-09,1500.0
AUT,Austria,2020-08-16,1692.0
AUT,Austria,2020-08-23,1376.0
AUT,Austria,2020-08-30,1476.0
AUT,Austria,2020-09-06,1389.0
AUT,Austria,2020-09-13,1447.0
AUT,Austria,2020-09-20,1459.0
AUT,Austria,2020-09-27,1410.0
AUT,Austria,2020-10-04,1494.0
BEL,Belgium,2020-01-05,2461.0
BEL,Belgium,2020-01-12,2525.0
BEL,Belgium,2020-01-19,2526.0
BEL,Belgium,2020-01-26,2510.0
BEL,Belgium,2020-02-02,2644.0
BEL,Belgium,2020-02-09,2727.0
BEL,Belgium,2020-02-16,2892.0
BEL,Belgium,2020-02-23,2774.0
BEL,Belgium,2020-03-01,2643.0
BEL,Belgium,2020-03-08,2457.0
BEL,Belgium,2020-03-15,2380.0
BEL,Belgium,2020-03-22,2380.0
BEL,Belgium,2020-03-29,2270.0
BEL,Belgium,2020-04-05,2163.0
BEL,Belgium,2020-04-12,2218.0
BEL,Belgium,2020-04-19,2152.0
BEL,Belgium,2020-04-26,2087.0
BEL,Belgium,2020-05-03,2005.0
BEL,Belgium,2020-05-10,2063.0
BEL,Belgium,2020-05-17,1976.0
BEL,Belgium,2020-05-24,1950.0
BEL,Belgium,2020-05-31,1905.0
BEL,Belgium,2020-06-07,1942.0
BEL,Belgium,2020-06-14,2003.0
BEL,Belgium,2020-06-21,1900.0
BEL,Belgium,2020-06-28,1888.0
BEL,Belgium,2020-07-05,2301.0
BEL,Belgium,2020-07-12,1908.0
BEL,Belgium,2020-07-19,1797.0
BEL,Belgium,2020-07-26,1740.0
BEL,Belgium,2020-08-02,1777.0
BEL,Belgium,2020-08-09,1997.0
BEL,Belgium,2020-08-16,1852.0
BEL,Belgium,2020-08-23,1755.0
BEL,Belgium,2020-08-30,1919.0
BEL,Belgium,2020-09-06,1775.0
BEL,Belgium,2020-09-13,1917.0
BEL,Belgium,2020-09-20,1844.0
BGR,Bulgaria,2020-01-05,2502.0
BGR,Bulgaria,2020-01-12,2511.0
BGR,Bulgaria,2020-01-19,2423.0
BGR,Bulgaria,2020-01-26,2339.0
BGR,Bulgaria,2020-02-02,2338.0
BGR,Bulgaria,2020-02-09,2296.0
BGR,Bulgaria,2020-02-16,2341.0
BGR,Bulgaria,2020-02-23,2538.0
BGR,Bulgaria,2020-03-01,2559.0
BGR,Bulgaria,2020-03-08,2472.0
