iso_code,country,date,owid_weekly_excess_mortality_p_score_15_64
BGR,Bulgaria,2020-06-21,4.41
BGR,Bulgaria,2020-06-28,-0.44
BGR,Bulgaria,2020-07-05,11.17
BGR,Bulgaria,2020-07-12,1.78
BGR,Bulgaria,2020-07-19,0.26
BGR,Bulgaria,2020-07-26,-3.94
BGR,Bulgaria,2020-08-02,1.07
BGR,Bulgaria,2020-08-09,-8.01
BGR,Bulgaria,2020-08-16,9.8
BGR,Bulgaria,2020-08-23,-2.65
BGR,Bulgaria,2020-08-30,9.5
BGR,Bulgaria,2020-09-06,13.69
BGR,Bulgaria,2020-09-13,1.83
BGR,Bulgaria,2020-09-20,-1.21
BGR,Bulgaria,2020-09-27,-1.11
BGR,Bulgaria,2020-10-04,3.21
BGR,Bulgaria,2020-10-11,4.3
BGR,Bulgaria,2020-10-18,3.42
BGR,Bulgaria,2020-10-25,13.11
BGR,Bulgaria,2020-11-01,35.99
BGR,Bulgaria,2020-11-08,64.26
BGR,Bulgaria,2020-11-15,85.99
BGR,Bulgaria,2020-11-22,94.02
BGR,Bulgaria,2020-11-29,112.39
BGR,Bulgaria,2020-12-06,103.35
BGR,Bulgaria,2020-12-13,75.01
BGR,Bulgaria,2020-12-20,59.18
BGR,Bulgaria,2020-12-27,24.42
BGR,Bulgaria,2021-01-03,18.53
BGR,Bulgaria,2021-01-10,-20.72
BGR,Bulgaria,2021-01-17,-13.38
BGR,Bulgaria,2021-01-24,-13.66
CAN,Canada,2020-01-05,-6.39
CAN,Canada,2020-01-12,3.44
CAN,Canada,2020-01-19,4.94
CAN,Canada,2020-01-26,0.6
CAN,Canada,2020-02-02,1.17
CAN,Canada,2020-02-09,0.66
CAN,Canada,2020-02-16,-0.19
CAN,Canada,2020-02-23,-9.32
CAN,Canada,2020-03-01,-4.85
CAN,Canada,2020-03-08,4.48
CAN,Canada,2020-03-15,-0.32
CAN,Canada,2020-03-22,0.86
CAN,Canada,2020-03-29,-6.02
CAN,Canada,2020-04-05,10.13
CAN,Canada,2020-04-12,8.65
CAN,Canada,2020-04-19,1.9
CAN,Canada,2020-04-26,6.88
CAN,Canada,2020-05-03,10.12
CAN,Canada,2020-05-10,13.92
CAN,Canada,2020-05-17,9.94
CAN,Canada,2020-05-24,14.44
CAN,Canada,2020-05-31,11.09
CAN,Canada,2020-06-07,11.0
CAN,Canada,2020-06-14,7.57
CAN,Canada,2020-06-21,9.07
CAN,Canada,2020-06-28,4.69
CAN,Canada,2020-07-05,8.76
CAN,Canada,2020-07-12,10.33
CAN,Canada,2020-07-19,15.33
CAN,Canada,2020-07-26,10.91
CAN,Canada,2020-08-02,9.99
CAN,Canada,2020-08-09,10.41
CAN,Canada,2020-08-16,9.55
CAN,Canada,2020-08-23,10.86
CAN,Canada,2020-08-30,4.94
CAN,Canada,2020-09-06,17.98
CAN,Canada,2020-09-13,6.34
CAN,Canada,2020-09-20,6.67
CAN,Canada,2020-09-27,7.62
CAN,Canada,2020-10-04,11.37
CAN,Canada,2020-10-11,11.39
CAN,Canada,2020-10-18,2.7
CHE,Switzerland,2020-01-05,-15.34
CHE,Switzerland,2020-01-12,-6.13
CHE,Switzerland,2020-01-19,-4.96
CHE,Switzerland,2020-01-26,-7.03
CHE,Switzerland,2020-02-02,-8.98
CHE,Switzerland,2020-02-09,-3.7
CHE,Switzerland,2020-02-16,-10.8
CHE,Switzerland,2020-02-23,2.76
CHE,Switzerland,2020-03-01,-6.76
CHE,Switzerland,2020-03-08,-10.47
CHE,Switzerland,2020-03-15,-7.84
CHE,Switzerland,2020-03-22,-2.09
CHE,Switzerland,2020-03-29,11.81
CHE,Switzerland,2020-04-05,6.22
CHE,Switzerland,2020-04-12,9.69
CHE,Switzerland,2020-04-19,4.01
CHE,Switzerland,2020-04-26,21.88
CHE,Switzerland,2020-05-03,-18.03
CHE,Switzerland,2020-05-10,-3.52
CHE,Switzerland,2020-05-17,1.67
CHE,Switzerland,2020-05-24,-7.38
CHE,Switzerland,2020-05-31,2.46
CHE,Switzerland,2020-06-07,-6.37
CHE,Switzerland,2020-06-14,-7.41
CHE,Switzerland,2020-06-21,-2.17
CHE,Switzerland,2020-06-28,0.25
CHE,Switzerland,2020-07-05,-1.28
CHE,Switzerland,2020-07-12,-2.6
CHE,Switzerland,2020-07-19,-20.73
CHE,Switzerland,2020-07-26,0.79
CHE,Switzerland,2020-08-02,6.71
CHE,Switzerland,2020-08-09,-2.3
CHE,Switzerland,2020-08-16,9.38
CHE,Switzerland,2020-08-23,-10.18
CHE,Switzerland,2020-08-30,-11.76
CHE,Switzerland,2020-09-06,-11.48
CHE,Switzerland,2020-09-13,-3.68
CHE,Switzerland,2020-09-20,-26.56
CHE,Switzerland,2020-09-27,5.6
CHE,Switzerland,2020-10-04,-14.42
CHE,Switzerland,2020-10-11,7.71
CHE,Switzerland,2020-10-18,-20.72
CHE,Switzerland,2020-10-25,6.44
CHE,Switzerland,2020-11-01,-11.07
CHE,Switzerland,2020-11-08,5.04
CHE,Switzerland,2020-11-15,2.59
CHE,Switzerland,2020-11-22,-8.43
CHE,Switzerland,2020-11-29,-12.97
CHE,Switzerland,2020-12-06,-0.86
CHE,Switzerland,2020-12-13,-0.37
CHE,Switzerland,2020-12-20,-4.34
CHE,Switzerland,2020-12-27,-11.09
CHE,Switzerland,2021-01-03,12.61
CHE,Switzerland,2021-01-10,1.97
CHE,Switzerland,2021-01-17,23.82
CHE,Switzerland,2021-01-24,8.13
CHL,Chile,2020-01-05,5.47
CHL,Chile,2020-01-12,14.11
CHL,Chile,2020-01-19,2.43
CHL,Chile,2020-01-26,-0.34
CHL,Chile,2020-02-02,0.91
CHL,Chile,2020-02-09,5.74
CHL,Chile,2020-02-16,10.37
CHL,Chile,2020-02-23,-3.57
CHL,Chile,2020-03-01,0.87
CHL,Chile,2020-03-08,-2.64
CHL,Chile,2020-03-15,11.95
CHL,Chile,2020-03-22,8.14
CHL,Chile,2020-03-29,7.21
CHL,Chile,2020-04-05,9.56
CHL,Chile,2020-04-12,-0.1
CHL,Chile,2020-04-19,6.4
CHL,Chile,2020-04-26,6.33
CHL,Chile,2020-05-03,7.99
CHL,Chile,2020-05-10,19.42
CHL,Chile,2020-05-17,19.37
CHL,Chile,2020-05-24,41.49
CHL,Chile,2020-05-31,54.89
CHL,Chile,2020-06-07,70.31
CHL,Chile,2020-06-14,54.63
CHL,Chile,2020-06-21,62.98
CHL,Chile,2020-06-28,57.77
CHL,Chile,2020-07-05,36.98
CHL,Chile,2020-07-12,32.14
CHL,Chile,2020-07-19,15.58
CHL,Chile,2020-07-26,16.3
CHL,Chile,2020-08-02,14.89
CHL,Chile,2020-08-09,0.98
CHL,Chile,2020-08-16,12.24
CHL,Chile,2020-08-23,21.38
CHL,Chile,2020-08-30,19.58
CHL,Chile,2020-09-06,9.22
CHL,Chile,2020-09-13,5.74
CHL,Chile,2020-09-20,1.95
CHL,Chile,2020-09-27,12.99
CHL,Chile,2020-10-04,27.87
CHL,Chile,2020-10-11,14.01
CHL,Chile,2020-10-18,23.45
