iso_code,country,date,owid_population_density
ABW,Aruba,2020-08-04,584.8
ABW,Aruba,2020-08-05,584.8
ABW,Aruba,2020-08-06,584.8
ABW,Aruba,2020-08-07,584.8
ABW,Aruba,2020-08-08,584.8
ABW,Aruba,2020-08-09,584.8
ABW,Aruba,2020-08-10,584.8
ABW,Aruba,2020-08-11,584.8
ABW,Aruba,2020-08-12,584.8
ABW,Aruba,2020-08-13,584.8
ABW,Aruba,2020-08-14,584.8
ABW,Aruba,2020-08-15,584.8
ABW,Aruba,2020-08-16,584.8
ABW,Aruba,2020-08-17,584.8
ABW,Aruba,2020-08-18,584.8
ABW,Aruba,2020-08-19,584.8
ABW,Aruba,2020-08-20,584.8
ABW,Aruba,2020-08-21,584.8
ABW,Aruba,2020-08-22,584.8
ABW,Aruba,2020-08-23,584.8
ABW,Aruba,2020-08-24,584.8
ABW,Aruba,2020-08-25,584.8
ABW,Aruba,2020-08-26,584.8
ABW,Aruba,2020-08-27,584.8
ABW,Aruba,2020-08-28,584.8
ABW,Aruba,2020-08-29,584.8
ABW,Aruba,2020-08-30,584.8
ABW,Aruba,2020-08-31,584.8
ABW,Aruba,2020-09-01,584.8
ABW,Aruba,2020-09-02,584.8
ABW,Aruba,2020-09-03,584.8
ABW,Aruba,2020-09-04,584.8
ABW,Aruba,2020-09-05,584.8
ABW,Aruba,2020-09-06,584.8
ABW,Aruba,2020-09-07,584.8
ABW,Aruba,2020-09-08,584.8
ABW,Aruba,2020-09-09,584.8
ABW,Aruba,2020-09-10,584.8
ABW,Aruba,2020-09-11,584.8
ABW,Aruba,2020-09-12,584.8
ABW,Aruba,2020-09-13,584.8
ABW,Aruba,2020-09-14,584.8
ABW,Aruba,2020-09-15,584.8
ABW,Aruba,2020-09-16,584.8
ABW,Aruba,2020-09-17,584.8
ABW,Aruba,2020-09-18,584.8
ABW,Aruba,2020-09-19,584.8
ABW,Aruba,2020-09-20,584.8
ABW,Aruba,2020-09-21,584.8
ABW,Aruba,2020-09-22,584.8
ABW,Aruba,2020-09-23,584.8
ABW,Aruba,2020-09-24,584.8
ABW,Aruba,2020-09-25,584.8
ABW,Aruba,2020-09-26,584.8
ABW,Aruba,2020-09-27,584.8
ABW,Aruba,2020-09-28,584.8
ABW,Aruba,2020-09-29,584.8
ABW,Aruba,2020-09-30,584.8
ABW,Aruba,2020-10-01,584.8
ABW,Aruba,2020-10-02,584.8
ABW,Aruba,2020-10-03,584.8
ABW,Aruba,2020-10-04,584.8
ABW,Aruba,2020-10-05,584.8
ABW,Aruba,2020-10-06,584.8
ABW,Aruba,2020-10-07,584.8
ABW,Aruba,2020-10-08,584.8
ABW,Aruba,2020-10-09,584.8
ABW,Aruba,2020-10-10,584.8
ABW,Aruba,2020-10-11,584.8
ABW,Aruba,2020-10-12,584.8
ABW,Aruba,2020-10-13,584.8
ABW,Aruba,2020-10-14,584.8
ABW,Aruba,2020-10-15,584.8
ABW,Aruba,2020-10-16,584.8
ABW,Aruba,2020-10-17,584.8
ABW,Aruba,2020-10-18,584.8
ABW,Aruba,2020-10-19,584.8
ABW,Aruba,2020-10-20,584.8
ABW,Aruba,2020-10-21,584.8
ABW,Aruba,2020-10-22,584.8
ABW,Aruba,2020-10-23,584.8
ABW,Aruba,2020-10-24,584.8
ABW,Aruba,2020-10-25,584.8
ABW,Aruba,2020-10-26,584.8
ABW,Aruba,2020-10-27,584.8
ABW,Aruba,2020-10-28,584.8
ABW,Aruba,2020-10-29,584.8
ABW,Aruba,2020-10-30,584.8
ABW,Aruba,2020-10-31,584.8
ABW,Aruba,2020-11-01,584.8
ABW,Aruba,2020-11-02,584.8
ABW,Aruba,2020-11-03,584.8
ABW,Aruba,2020-11-04,584.8
ABW,Aruba,2020-11-05,584.8
ABW,Aruba,2020-11-06,584.8
ABW,Aruba,2020-11-07,584.8
ABW,Aruba,2020-11-08,584.8
ABW,Aruba,2020-11-09,584.8
AFG,Afghanistan,2019-12-31,54.422
AFG,Afghanistan,2020-01-01,54.422
AFG,Afghanistan,2020-01-02,54.422
AFG,Afghanistan,2020-01-03,54.422
AFG,Afghanistan,2020-01-04,54.422
AFG,Afghanistan,2020-01-05,54.422
AFG,Afghanistan,2020-01-06,54.422
AFG,Afghanistan,2020-01-07,54.422
AFG,Afghanistan,2020-01-08,54.422
AFG,Afghanistan,2020-01-09,54.422
AFG,Afghanistan,2020-01-10,54.422
AFG,Afghanistan,2020-01-11,54.422
AFG,Afghanistan,2020-01-12,54.422
AFG,Afghanistan,2020-01-13,54.422
AFG,Afghanistan,2020-01-14,54.422
AFG,Afghanistan,2020-01-15,54.422
AFG,Afghanistan,2020-01-16,54.422
AFG,Afghanistan,2020-01-17,54.422
AFG,Afghanistan,2020-01-18,54.422
AFG,Afghanistan,2020-01-19,54.422
AFG,Afghanistan,2020-01-20,54.422
AFG,Afghanistan,2020-01-21,54.422
AFG,Afghanistan,2020-01-22,54.422
AFG,Afghanistan,2020-01-23,54.422
AFG,Afghanistan,2020-01-24,54.422
AFG,Afghanistan,2020-01-25,54.422
AFG,Afghanistan,2020-01-26,54.422
AFG,Afghanistan,2020-01-27,54.422
AFG,Afghanistan,2020-01-28,54.422
AFG,Afghanistan,2020-01-29,54.422
AFG,Afghanistan,2020-01-30,54.422
AFG,Afghanistan,2020-01-31,54.422
AFG,Afghanistan,2020-02-01,54.422
AFG,Afghanistan,2020-02-02,54.422
AFG,Afghanistan,2020-02-03,54.422
AFG,Afghanistan,2020-02-04,54.422
AFG,Afghanistan,2020-02-05,54.422
AFG,Afghanistan,2020-02-06,54.422
AFG,Afghanistan,2020-02-07,54.422
AFG,Afghanistan,2020-02-08,54.422
AFG,Afghanistan,2020-02-09,54.422
AFG,Afghanistan,2020-02-10,54.422
AFG,Afghanistan,2020-02-11,54.422
AFG,Afghanistan,2020-02-12,54.422
AFG,Afghanistan,2020-02-13,54.422
AFG,Afghanistan,2020-02-14,54.422
AFG,Afghanistan,2020-02-15,54.422
AFG,Afghanistan,2020-02-16,54.422
AFG,Afghanistan,2020-02-17,54.422
AFG,Afghanistan,2020-02-18,54.422
AFG,Afghanistan,2020-02-19,54.422
AFG,Afghanistan,2020-02-20,54.422
