iso_code,country,date,marioli_ci_95_l
AFG,Afghanistan,2020-03-29,1.149240322303258
AFG,Afghanistan,2020-03-30,1.165199144362999
AFG,Afghanistan,2020-03-31,1.1875667689413991
AFG,Afghanistan,2020-04-01,1.190003555816851
AFG,Afghanistan,2020-04-02,1.194213385017219
AFG,Afghanistan,2020-04-03,1.1921172431559046
AFG,Afghanistan,2020-04-04,1.1916437072265162
AFG,Afghanistan,2020-04-05,1.194185191300475
AFG,Afghanistan,2020-04-06,1.1967128755553331
AFG,Afghanistan,2020-04-07,1.2014725322479831
AFG,Afghanistan,2020-04-08,1.20053622307199
AFG,Afghanistan,2020-04-09,1.1965667880601971
AFG,Afghanistan,2020-04-10,1.2022580470192044
AFG,Afghanistan,2020-04-11,1.1944739163414635
AFG,Afghanistan,2020-04-12,1.2044940415489471
AFG,Afghanistan,2020-04-13,1.2094172081821282
AFG,Afghanistan,2020-04-14,1.2076825357150611
AFG,Afghanistan,2020-04-15,1.20927773514626
AFG,Afghanistan,2020-04-16,1.2010669020986198
AFG,Afghanistan,2020-04-17,1.2003197149673583
AFG,Afghanistan,2020-04-18,1.2039625675598915
AFG,Afghanistan,2020-04-19,1.2038121133491309
AFG,Afghanistan,2020-04-20,1.215231067394148
AFG,Afghanistan,2020-04-21,1.2184536028346689
AFG,Afghanistan,2020-04-22,1.2337174369665016
AFG,Afghanistan,2020-04-23,1.2516248280598192
AFG,Afghanistan,2020-04-24,1.2641669634759367
AFG,Afghanistan,2020-04-25,1.2823787612582809
AFG,Afghanistan,2020-04-26,1.2943993063096193
AFG,Afghanistan,2020-04-27,1.302475860090453
AFG,Afghanistan,2020-04-28,1.3126086314643768
AFG,Afghanistan,2020-04-29,1.3150527475170717
AFG,Afghanistan,2020-04-30,1.3263769933409009
AFG,Afghanistan,2020-05-01,1.3410975077379583
AFG,Afghanistan,2020-05-02,1.3442301277082314
AFG,Afghanistan,2020-05-03,1.33457729956019
AFG,Afghanistan,2020-05-04,1.339028271711132
AFG,Afghanistan,2020-05-05,1.3473119581410722
AFG,Afghanistan,2020-05-06,1.3639841306580571
AFG,Afghanistan,2020-05-07,1.3455738113910578
AFG,Afghanistan,2020-05-08,1.3323347559599263
AFG,Afghanistan,2020-05-09,1.32358129330552
AFG,Afghanistan,2020-05-10,1.3199733662284716
AFG,Afghanistan,2020-05-11,1.2985008513431442
AFG,Afghanistan,2020-05-12,1.2740786765708672
AFG,Afghanistan,2020-05-13,1.251092009337179
AFG,Afghanistan,2020-05-14,1.2453894648551571
AFG,Afghanistan,2020-05-15,1.2324396978000025
AFG,Afghanistan,2020-05-16,1.2123774409530148
AFG,Afghanistan,2020-05-17,1.1907234373129516
AFG,Afghanistan,2020-05-18,1.1788921582962348
AFG,Afghanistan,2020-05-19,1.1611805934485555
AFG,Afghanistan,2020-05-20,1.1444053517768178
AFG,Afghanistan,2020-05-21,1.1321976955712447
AFG,Afghanistan,2020-05-22,1.112022300820585
AFG,Afghanistan,2020-05-23,1.095418691903217
AFG,Afghanistan,2020-05-24,1.0737640249977052
AFG,Afghanistan,2020-05-25,1.0538257558209188
AFG,Afghanistan,2020-05-26,1.0358452355477006
AFG,Afghanistan,2020-05-27,1.0181516684612608
AFG,Afghanistan,2020-05-28,1.0020022156778694
AFG,Afghanistan,2020-05-29,0.9829809894805428
AFG,Afghanistan,2020-05-30,0.9660555940511224
AFG,Afghanistan,2020-05-31,0.9478447920434172
AFG,Afghanistan,2020-06-01,0.9312654520619617
AFG,Afghanistan,2020-06-02,0.9146458043391296
AFG,Afghanistan,2020-06-03,0.8962873062681223
AFG,Afghanistan,2020-06-04,0.8796994406552259
AFG,Afghanistan,2020-06-05,0.8660747282834821
AFG,Afghanistan,2020-06-06,0.8457664856397447
AFG,Afghanistan,2020-06-07,0.8287457756458615
AFG,Afghanistan,2020-06-08,0.8106322273596517
AFG,Afghanistan,2020-06-09,0.7923183541866281
AFG,Afghanistan,2020-06-10,0.7780379751193792
AFG,Afghanistan,2020-06-11,0.7629712781754564
AFG,Afghanistan,2020-06-12,0.7447333816443815
AFG,Afghanistan,2020-06-13,0.7331642512511902
AFG,Afghanistan,2020-06-14,0.7189305491464444
AFG,Afghanistan,2020-06-15,0.7058952113380815
AFG,Afghanistan,2020-06-16,0.6894298596143535
AFG,Afghanistan,2020-06-17,0.6794544041471664
AFG,Afghanistan,2020-06-18,0.6616074745174836
AFG,Afghanistan,2020-06-19,0.6433462351444237
AFG,Afghanistan,2020-06-20,0.6240575408991683
AFG,Afghanistan,2020-06-21,0.6117205256683442
AFG,Afghanistan,2020-06-22,0.598460154164681
AFG,Afghanistan,2020-06-23,0.5837837081840385
AFG,Afghanistan,2020-06-24,0.5673158724099114
AFG,Afghanistan,2020-06-25,0.5600295745079562
AFG,Afghanistan,2020-06-26,0.5552934771889075
AFG,Afghanistan,2020-06-27,0.5520396139842154
AFG,Afghanistan,2020-06-28,0.5469839933379385
AFG,Afghanistan,2020-06-29,0.5447656752822378
AFG,Afghanistan,2020-06-30,0.5396859777263043
AFG,Afghanistan,2020-07-01,0.5391973566317552
