iso_code,country,date,owid_weekly_deaths_2019
ABW,Aruba,2020-01-31,49.0
ABW,Aruba,2020-02-29,55.0
ABW,Aruba,2020-03-31,64.0
ABW,Aruba,2020-04-30,50.0
ABW,Aruba,2020-05-31,55.0
ABW,Aruba,2020-06-30,52.0
ABW,Aruba,2020-07-31,56.0
ABW,Aruba,2020-08-31,53.0
ABW,Aruba,2020-09-30,56.0
ABW,Aruba,2020-10-31,63.0
ABW,Aruba,2020-11-30,52.0
ABW,Aruba,2020-12-31,60.0
ALB,Albania,2020-01-31,2397.0
ALB,Albania,2020-02-29,1974.0
ALB,Albania,2020-03-31,1990.0
ALB,Albania,2020-04-30,1687.0
ALB,Albania,2020-05-31,1744.0
ALB,Albania,2020-06-30,1718.0
ALB,Albania,2020-07-31,1744.0
ALB,Albania,2020-08-31,1734.0
ALB,Albania,2020-09-30,1528.0
ALB,Albania,2020-10-31,1673.0
ALB,Albania,2020-11-30,1792.0
ALB,Albania,2020-12-31,1956.0
AND,Andorra,2020-01-31,29.0
AND,Andorra,2020-02-29,29.0
AND,Andorra,2020-03-31,19.0
AND,Andorra,2020-04-30,26.0
AND,Andorra,2020-05-31,19.0
AND,Andorra,2020-06-30,23.0
AND,Andorra,2020-07-31,30.0
AND,Andorra,2020-08-31,18.0
AND,Andorra,2020-09-30,24.0
AND,Andorra,2020-10-31,23.0
AND,Andorra,2020-11-30,30.0
AND,Andorra,2020-12-31,31.0
ARG,Argentina,2020-01-31,26271.0
ARG,Argentina,2020-02-29,23688.0
ARG,Argentina,2020-03-31,26020.0
ARG,Argentina,2020-04-30,25582.0
ARG,Argentina,2020-05-31,28383.0
ARG,Argentina,2020-06-30,31418.0
ARG,Argentina,2020-07-31,36035.0
ARG,Argentina,2020-08-31,32472.0
ARG,Argentina,2020-09-30,29481.0
ARG,Argentina,2020-10-31,28362.0
ARG,Argentina,2020-11-30,25543.0
ARG,Argentina,2020-12-31,23836.0
ARM,Armenia,2020-01-31,2773.0
ARM,Armenia,2020-02-29,2247.0
ARM,Armenia,2020-03-31,2353.0
ARM,Armenia,2020-04-30,2203.0
ARM,Armenia,2020-05-31,2285.0
ARM,Armenia,2020-06-30,1929.0
ARM,Armenia,2020-07-31,2069.0
ARM,Armenia,2020-08-31,1994.0
ARM,Armenia,2020-09-30,1802.0
ARM,Armenia,2020-10-31,2014.0
ARM,Armenia,2020-11-30,2179.0
ARM,Armenia,2020-12-31,2404.0
ATG,Antigua and Barbuda,2020-01-31,63.0
ATG,Antigua and Barbuda,2020-02-29,61.0
ATG,Antigua and Barbuda,2020-03-31,45.0
ATG,Antigua and Barbuda,2020-04-30,40.0
ATG,Antigua and Barbuda,2020-05-31,38.0
ATG,Antigua and Barbuda,2020-06-30,63.0
ATG,Antigua and Barbuda,2020-07-31,54.0
ATG,Antigua and Barbuda,2020-08-31,57.0
ATG,Antigua and Barbuda,2020-09-30,51.0
ATG,Antigua and Barbuda,2020-10-31,44.0
ATG,Antigua and Barbuda,2020-11-30,48.0
ATG,Antigua and Barbuda,2020-12-31,54.0
AUS,Australia,2020-01-05,2573.0
AUS,Australia,2020-01-12,2601.0
AUS,Australia,2020-01-19,2607.0
AUS,Australia,2020-01-26,2565.0
AUS,Australia,2020-02-02,2516.0
AUS,Australia,2020-02-09,2570.0
AUS,Australia,2020-02-16,2594.0
AUS,Australia,2020-02-23,2669.0
AUS,Australia,2020-03-01,2610.0
