iso_code,country,date,owid_median_age
AFG,Afghanistan,2020-07-17,18.6
AFG,Afghanistan,2020-07-18,18.6
AFG,Afghanistan,2020-07-19,18.6
AFG,Afghanistan,2020-07-20,18.6
AFG,Afghanistan,2020-07-21,18.6
AFG,Afghanistan,2020-07-22,18.6
AFG,Afghanistan,2020-07-23,18.6
AFG,Afghanistan,2020-07-24,18.6
AFG,Afghanistan,2020-07-25,18.6
AFG,Afghanistan,2020-07-26,18.6
AFG,Afghanistan,2020-07-27,18.6
AFG,Afghanistan,2020-07-28,18.6
AFG,Afghanistan,2020-07-29,18.6
AFG,Afghanistan,2020-07-30,18.6
AFG,Afghanistan,2020-07-31,18.6
AFG,Afghanistan,2020-08-01,18.6
AFG,Afghanistan,2020-08-02,18.6
AFG,Afghanistan,2020-08-03,18.6
AFG,Afghanistan,2020-08-04,18.6
AFG,Afghanistan,2020-08-05,18.6
AFG,Afghanistan,2020-08-06,18.6
AFG,Afghanistan,2020-08-07,18.6
AFG,Afghanistan,2020-08-08,18.6
AFG,Afghanistan,2020-08-09,18.6
AFG,Afghanistan,2020-08-10,18.6
AFG,Afghanistan,2020-08-11,18.6
AFG,Afghanistan,2020-08-12,18.6
AFG,Afghanistan,2020-08-13,18.6
AFG,Afghanistan,2020-08-14,18.6
AFG,Afghanistan,2020-08-15,18.6
AFG,Afghanistan,2020-08-16,18.6
AFG,Afghanistan,2020-08-17,18.6
AFG,Afghanistan,2020-08-18,18.6
AFG,Afghanistan,2020-08-19,18.6
AFG,Afghanistan,2020-08-20,18.6
AFG,Afghanistan,2020-08-21,18.6
AFG,Afghanistan,2020-08-22,18.6
AFG,Afghanistan,2020-08-23,18.6
AFG,Afghanistan,2020-08-24,18.6
AFG,Afghanistan,2020-08-25,18.6
AFG,Afghanistan,2020-08-26,18.6
AFG,Afghanistan,2020-08-27,18.6
AFG,Afghanistan,2020-08-28,18.6
AFG,Afghanistan,2020-08-29,18.6
AFG,Afghanistan,2020-08-30,18.6
AFG,Afghanistan,2020-08-31,18.6
AFG,Afghanistan,2020-09-01,18.6
AFG,Afghanistan,2020-09-02,18.6
AFG,Afghanistan,2020-09-03,18.6
AFG,Afghanistan,2020-09-04,18.6
AFG,Afghanistan,2020-09-05,18.6
AFG,Afghanistan,2020-09-06,18.6
AFG,Afghanistan,2020-09-07,18.6
AFG,Afghanistan,2020-09-08,18.6
AFG,Afghanistan,2020-09-09,18.6
AFG,Afghanistan,2020-09-10,18.6
AFG,Afghanistan,2020-09-11,18.6
AFG,Afghanistan,2020-09-12,18.6
AFG,Afghanistan,2020-09-13,18.6
AFG,Afghanistan,2020-09-14,18.6
AFG,Afghanistan,2020-09-15,18.6
AFG,Afghanistan,2020-09-16,18.6
AFG,Afghanistan,2020-09-17,18.6
AFG,Afghanistan,2020-09-18,18.6
AFG,Afghanistan,2020-09-19,18.6
AFG,Afghanistan,2020-09-20,18.6
AFG,Afghanistan,2020-09-21,18.6
AFG,Afghanistan,2020-09-22,18.6
AFG,Afghanistan,2020-09-23,18.6
AFG,Afghanistan,2020-09-24,18.6
AFG,Afghanistan,2020-09-25,18.6
AFG,Afghanistan,2020-09-26,18.6
AFG,Afghanistan,2020-09-27,18.6
AFG,Afghanistan,2020-09-28,18.6
AFG,Afghanistan,2020-09-29,18.6
AFG,Afghanistan,2020-09-30,18.6
AFG,Afghanistan,2020-10-01,18.6
AFG,Afghanistan,2020-10-02,18.6
AFG,Afghanistan,2020-10-03,18.6
AFG,Afghanistan,2020-10-04,18.6
AFG,Afghanistan,2020-10-05,18.6
AFG,Afghanistan,2020-10-06,18.6
AFG,Afghanistan,2020-10-07,18.6
AFG,Afghanistan,2020-10-08,18.6
