iso_code,country,date,owid_life_expectancy
AFG,Afghanistan,2020-06-29,64.83
AFG,Afghanistan,2020-06-30,64.83
AFG,Afghanistan,2020-07-01,64.83
AFG,Afghanistan,2020-07-02,64.83
AFG,Afghanistan,2020-07-03,64.83
AFG,Afghanistan,2020-07-04,64.83
AFG,Afghanistan,2020-07-05,64.83
AFG,Afghanistan,2020-07-06,64.83
AFG,Afghanistan,2020-07-07,64.83
AFG,Afghanistan,2020-07-08,64.83
AFG,Afghanistan,2020-07-09,64.83
AFG,Afghanistan,2020-07-10,64.83
AFG,Afghanistan,2020-07-11,64.83
AFG,Afghanistan,2020-07-12,64.83
AFG,Afghanistan,2020-07-13,64.83
AFG,Afghanistan,2020-07-14,64.83
AFG,Afghanistan,2020-07-15,64.83
AFG,Afghanistan,2020-07-16,64.83
AFG,Afghanistan,2020-07-17,64.83
AFG,Afghanistan,2020-07-18,64.83
AFG,Afghanistan,2020-07-19,64.83
AFG,Afghanistan,2020-07-20,64.83
AFG,Afghanistan,2020-07-21,64.83
AFG,Afghanistan,2020-07-22,64.83
AFG,Afghanistan,2020-07-23,64.83
AFG,Afghanistan,2020-07-24,64.83
AFG,Afghanistan,2020-07-25,64.83
AFG,Afghanistan,2020-07-26,64.83
AFG,Afghanistan,2020-07-27,64.83
AFG,Afghanistan,2020-07-28,64.83
AFG,Afghanistan,2020-07-29,64.83
AFG,Afghanistan,2020-07-30,64.83
AFG,Afghanistan,2020-07-31,64.83
AFG,Afghanistan,2020-08-01,64.83
AFG,Afghanistan,2020-08-02,64.83
AFG,Afghanistan,2020-08-03,64.83
AFG,Afghanistan,2020-08-04,64.83
AFG,Afghanistan,2020-08-05,64.83
AFG,Afghanistan,2020-08-06,64.83
AFG,Afghanistan,2020-08-07,64.83
AFG,Afghanistan,2020-08-08,64.83
AFG,Afghanistan,2020-08-09,64.83
AFG,Afghanistan,2020-08-10,64.83
AFG,Afghanistan,2020-08-11,64.83
AFG,Afghanistan,2020-08-12,64.83
AFG,Afghanistan,2020-08-13,64.83
AFG,Afghanistan,2020-08-14,64.83
AFG,Afghanistan,2020-08-15,64.83
AFG,Afghanistan,2020-08-16,64.83
AFG,Afghanistan,2020-08-17,64.83
AFG,Afghanistan,2020-08-18,64.83
AFG,Afghanistan,2020-08-19,64.83
AFG,Afghanistan,2020-08-20,64.83
AFG,Afghanistan,2020-08-21,64.83
AFG,Afghanistan,2020-08-22,64.83
AFG,Afghanistan,2020-08-23,64.83
AFG,Afghanistan,2020-08-24,64.83
AFG,Afghanistan,2020-08-25,64.83
AFG,Afghanistan,2020-08-26,64.83
AFG,Afghanistan,2020-08-27,64.83
AFG,Afghanistan,2020-08-28,64.83
AFG,Afghanistan,2020-08-29,64.83
AFG,Afghanistan,2020-08-30,64.83
AFG,Afghanistan,2020-08-31,64.83
AFG,Afghanistan,2020-09-01,64.83
AFG,Afghanistan,2020-09-02,64.83
AFG,Afghanistan,2020-09-03,64.83
AFG,Afghanistan,2020-09-04,64.83
AFG,Afghanistan,2020-09-05,64.83
AFG,Afghanistan,2020-09-06,64.83
AFG,Afghanistan,2020-09-07,64.83
AFG,Afghanistan,2020-09-08,64.83
AFG,Afghanistan,2020-09-09,64.83
AFG,Afghanistan,2020-09-10,64.83
AFG,Afghanistan,2020-09-11,64.83
AFG,Afghanistan,2020-09-12,64.83
AFG,Afghanistan,2020-09-13,64.83
AFG,Afghanistan,2020-09-14,64.83
AFG,Afghanistan,2020-09-15,64.83
AFG,Afghanistan,2020-09-16,64.83
AFG,Afghanistan,2020-09-17,64.83
AFG,Afghanistan,2020-09-18,64.83
AFG,Afghanistan,2020-09-19,64.83
AFG,Afghanistan,2020-09-20,64.83
AFG,Afghanistan,2020-09-21,64.83
AFG,Afghanistan,2020-09-22,64.83
AFG,Afghanistan,2020-09-23,64.83
AFG,Afghanistan,2020-09-24,64.83
AFG,Afghanistan,2020-09-25,64.83
AFG,Afghanistan,2020-09-26,64.83
AFG,Afghanistan,2020-09-27,64.83
AFG,Afghanistan,2020-09-28,64.83
AFG,Afghanistan,2020-09-29,64.83
AFG,Afghanistan,2020-09-30,64.83
AFG,Afghanistan,2020-10-01,64.83
AFG,Afghanistan,2020-10-02,64.83
AFG,Afghanistan,2020-10-03,64.83
AFG,Afghanistan,2020-10-04,64.83
AFG,Afghanistan,2020-10-05,64.83
AFG,Afghanistan,2020-10-06,64.83
AFG,Afghanistan,2020-10-07,64.83
AFG,Afghanistan,2020-10-08,64.83
AFG,Afghanistan,2020-10-09,64.83
AFG,Afghanistan,2020-10-10,64.83
AFG,Afghanistan,2020-10-11,64.83
AFG,Afghanistan,2020-10-12,64.83
AFG,Afghanistan,2020-10-13,64.83
AFG,Afghanistan,2020-10-14,64.83
AFG,Afghanistan,2020-10-15,64.83
AFG,Afghanistan,2020-10-16,64.83
AFG,Afghanistan,2020-10-17,64.83
AFG,Afghanistan,2020-10-18,64.83
AFG,Afghanistan,2020-10-19,64.83
AFG,Afghanistan,2020-10-20,64.83
AFG,Afghanistan,2020-10-21,64.83
AFG,Afghanistan,2020-10-22,64.83
AFG,Afghanistan,2020-10-23,64.83
AFG,Afghanistan,2020-10-24,64.83
AFG,Afghanistan,2020-10-25,64.83
AFG,Afghanistan,2020-10-26,64.83
AFG,Afghanistan,2020-10-27,64.83
AFG,Afghanistan,2020-10-28,64.83
AFG,Afghanistan,2020-10-29,64.83
AFG,Afghanistan,2020-10-30,64.83
AFG,Afghanistan,2020-10-31,64.83
AFG,Afghanistan,2020-11-01,64.83
AFG,Afghanistan,2020-11-02,64.83
AFG,Afghanistan,2020-11-03,64.83
AFG,Afghanistan,2020-11-04,64.83
AFG,Afghanistan,2020-11-05,64.83
AFG,Afghanistan,2020-11-06,64.83
AFG,Afghanistan,2020-11-07,64.83
AFG,Afghanistan,2020-11-08,64.83
AFG,Afghanistan,2020-11-09,64.83
AFG,Afghanistan,2020-11-10,64.83
AFG,Afghanistan,2020-11-11,64.83
AFG,Afghanistan,2020-11-12,64.83
AFG,Afghanistan,2020-11-13,64.83
AFG,Afghanistan,2020-11-14,64.83
AFG,Afghanistan,2020-11-15,64.83
AFG,Afghanistan,2020-11-16,64.83
AFG,Afghanistan,2020-11-17,64.83
AFG,Afghanistan,2020-11-18,64.83
AFG,Afghanistan,2020-11-19,64.83
AFG,Afghanistan,2020-11-20,64.83
AFG,Afghanistan,2020-11-21,64.83
AFG,Afghanistan,2020-11-22,64.83
AFG,Afghanistan,2020-11-23,64.83
AFG,Afghanistan,2020-11-24,64.83
AFG,Afghanistan,2020-11-25,64.83
AFG,Afghanistan,2020-11-26,64.83
AFG,Afghanistan,2020-11-27,64.83
AFG,Afghanistan,2020-11-28,64.83
AFG,Afghanistan,2020-11-29,64.83
AFG,Afghanistan,2020-11-30,64.83
AFG,Afghanistan,2020-12-01,64.83
AFG,Afghanistan,2020-12-02,64.83
AFG,Afghanistan,2020-12-03,64.83
AFG,Afghanistan,2020-12-04,64.83
AFG,Afghanistan,2020-12-05,64.83
AFG,Afghanistan,2020-12-06,64.83
AFG,Afghanistan,2020-12-07,64.83
AFG,Afghanistan,2020-12-08,64.83
AFG,Afghanistan,2020-12-09,64.83
AFG,Afghanistan,2020-12-10,64.83
AFG,Afghanistan,2020-12-11,64.83
AFG,Afghanistan,2020-12-12,64.83
AFG,Afghanistan,2020-12-13,64.83
AFG,Afghanistan,2020-12-14,64.83
AFG,Afghanistan,2020-12-15,64.83
AFG,Afghanistan,2020-12-16,64.83
AFG,Afghanistan,2020-12-17,64.83
AFG,Afghanistan,2020-12-18,64.83
AFG,Afghanistan,2020-12-19,64.83
AFG,Afghanistan,2020-12-20,64.83
AFG,Afghanistan,2020-12-21,64.83
AFG,Afghanistan,2020-12-22,64.83
AFG,Afghanistan,2020-12-23,64.83
AFG,Afghanistan,2020-12-24,64.83
AFG,Afghanistan,2020-12-25,64.83
AFG,Afghanistan,2020-12-26,64.83
AFG,Afghanistan,2020-12-27,64.83
AFG,Afghanistan,2020-12-28,64.83
AFG,Afghanistan,2020-12-29,64.83
AFG,Afghanistan,2020-12-30,64.83
AFG,Afghanistan,2020-12-31,64.83
AFG,Afghanistan,2021-01-01,64.83
AFG,Afghanistan,2021-01-02,64.83
AFG,Afghanistan,2021-01-03,64.83
AFG,Afghanistan,2021-01-04,64.83
AFG,Afghanistan,2021-01-05,64.83
AFG,Afghanistan,2021-01-06,64.83
AFG,Afghanistan,2021-01-07,64.83
AFG,Afghanistan,2021-01-08,64.83
AFG,Afghanistan,2021-01-09,64.83
AFG,Afghanistan,2021-01-10,64.83
AFG,Afghanistan,2021-01-11,64.83
AFG,Afghanistan,2021-01-12,64.83
AFG,Afghanistan,2021-01-13,64.83
AFG,Afghanistan,2021-01-14,64.83
AFG,Afghanistan,2021-01-15,64.83
AFG,Afghanistan,2021-01-16,64.83
AFG,Afghanistan,2021-01-17,64.83
AFG,Afghanistan,2021-01-18,64.83
AFG,Afghanistan,2021-01-19,64.83
AFG,Afghanistan,2021-01-20,64.83
AFG,Afghanistan,2021-01-21,64.83
AFG,Afghanistan,2021-01-22,64.83
AFG,Afghanistan,2021-01-23,64.83
AFG,Afghanistan,2021-01-24,64.83
AFG,Afghanistan,2021-01-25,64.83
AFG,Afghanistan,2021-01-26,64.83
AFG,Afghanistan,2021-01-27,64.83
AFG,Afghanistan,2021-01-28,64.83
AFG,Afghanistan,2021-01-29,64.83
AFG,Afghanistan,2021-01-30,64.83
AFG,Afghanistan,2021-01-31,64.83
AFG,Afghanistan,2021-02-01,64.83
AFG,Afghanistan,2021-02-02,64.83
AFG,Afghanistan,2021-02-03,64.83
AFG,Afghanistan,2021-02-04,64.83
AFG,Afghanistan,2021-02-05,64.83
AFG,Afghanistan,2021-02-06,64.83
AFG,Afghanistan,2021-02-07,64.83
AFG,Afghanistan,2021-02-08,64.83
AFG,Afghanistan,2021-02-09,64.83
AFG,Afghanistan,2021-02-10,64.83
AFG,Afghanistan,2021-02-11,64.83
AFG,Afghanistan,2021-02-12,64.83
AFG,Afghanistan,2021-02-13,64.83
AFG,Afghanistan,2021-02-14,64.83
AFG,Afghanistan,2021-02-15,64.83
AFG,Afghanistan,2021-02-16,64.83
AFG,Afghanistan,2021-02-17,64.83
AFG,Afghanistan,2021-02-18,64.83
AFG,Afghanistan,2021-02-19,64.83
AFG,Afghanistan,2021-02-20,64.83
AFG,Afghanistan,2021-02-21,64.83
AFG,Afghanistan,2021-02-22,64.83
AFG,Afghanistan,2021-02-23,64.83
AFG,Afghanistan,2021-02-24,64.83
AFG,Afghanistan,2021-02-25,64.83
AFG,Afghanistan,2021-02-26,64.83
AFG,Afghanistan,2021-02-27,64.83
AFG,Afghanistan,2021-02-28,64.83
AFG,Afghanistan,2021-03-01,64.83
AFG,Afghanistan,2021-03-02,64.83
AFG,Afghanistan,2021-03-03,64.83
AFG,Afghanistan,2021-03-04,64.83
AFG,Afghanistan,2021-03-05,64.83
AFG,Afghanistan,2021-03-06,64.83
AFG,Afghanistan,2021-03-07,64.83
AFG,Afghanistan,2021-03-08,64.83
AFG,Afghanistan,2021-03-09,64.83
AFG,Afghanistan,2021-03-10,64.83
AFG,Afghanistan,2021-03-11,64.83
AFG,Afghanistan,2021-03-12,64.83
AFG,Afghanistan,2021-03-13,64.83
AFG,Afghanistan,2021-03-14,64.83
AFG,Afghanistan,2021-03-15,64.83
AFG,Afghanistan,2021-03-16,64.83
AFG,Afghanistan,2021-03-17,64.83
AFG,Afghanistan,2021-03-18,64.83
AFG,Afghanistan,2021-03-19,64.83
AFG,Afghanistan,2021-03-20,64.83
AFG,Afghanistan,2021-03-21,64.83
AFG,Afghanistan,2021-03-22,64.83
AFG,Afghanistan,2021-03-23,64.83
AFG,Afghanistan,2021-03-24,64.83
AFG,Afghanistan,2021-03-25,64.83
AFG,Afghanistan,2021-03-26,64.83
AFG,Afghanistan,2021-03-27,64.83
