iso_code,country,date,icl_i12_health_7
ARE,United Arab Emirates,2020-04-06,60.1249207377627
ARE,United Arab Emirates,2020-04-07,60.1249207377627
ARE,United Arab Emirates,2020-04-08,60.1249207377627
ARE,United Arab Emirates,2020-04-09,60.1249207377627
ARE,United Arab Emirates,2020-04-10,60.1249207377627
ARE,United Arab Emirates,2020-04-11,60.1249207377627
ARE,United Arab Emirates,2020-04-12,60.1249207377627
ARE,United Arab Emirates,2020-04-27,63.2071131069796
ARE,United Arab Emirates,2020-04-28,63.2071131069796
ARE,United Arab Emirates,2020-04-29,63.2071131069796
ARE,United Arab Emirates,2020-04-30,63.2071131069796
ARE,United Arab Emirates,2020-05-01,63.2071131069796
ARE,United Arab Emirates,2020-05-02,63.2071131069796
ARE,United Arab Emirates,2020-05-03,63.2071131069796
ARE,United Arab Emirates,2020-05-11,79.2098738870667
ARE,United Arab Emirates,2020-05-12,79.2098738870667
ARE,United Arab Emirates,2020-05-13,79.2098738870667
ARE,United Arab Emirates,2020-05-14,79.2098738870667
ARE,United Arab Emirates,2020-05-15,79.2098738870667
ARE,United Arab Emirates,2020-05-16,79.2098738870667
ARE,United Arab Emirates,2020-05-17,79.2098738870667
ARE,United Arab Emirates,2020-05-25,71.7958267354103
ARE,United Arab Emirates,2020-05-26,71.7958267354103
ARE,United Arab Emirates,2020-05-27,71.7958267354103
ARE,United Arab Emirates,2020-05-28,71.7958267354103
ARE,United Arab Emirates,2020-05-29,71.7958267354103
ARE,United Arab Emirates,2020-05-30,71.7958267354103
ARE,United Arab Emirates,2020-05-31,71.7958267354103
ARE,United Arab Emirates,2020-06-08,71.6809463675434
ARE,United Arab Emirates,2020-06-09,71.6809463675434
ARE,United Arab Emirates,2020-06-10,71.6809463675434
ARE,United Arab Emirates,2020-06-11,71.6809463675434
ARE,United Arab Emirates,2020-06-12,71.6809463675434
ARE,United Arab Emirates,2020-06-13,71.6809463675434
ARE,United Arab Emirates,2020-06-14,71.6809463675434
ARE,United Arab Emirates,2020-06-22,74.5900600801476
ARE,United Arab Emirates,2020-06-23,74.5900600801476
ARE,United Arab Emirates,2020-06-24,74.5900600801476
ARE,United Arab Emirates,2020-06-25,74.5900600801476
ARE,United Arab Emirates,2020-06-26,74.5900600801476
ARE,United Arab Emirates,2020-06-27,74.5900600801476
ARE,United Arab Emirates,2020-06-28,74.5900600801476
ARE,United Arab Emirates,2020-07-06,68.8151866885371
ARE,United Arab Emirates,2020-07-07,68.8151866885371
ARE,United Arab Emirates,2020-07-08,68.8151866885371
ARE,United Arab Emirates,2020-07-09,68.8151866885371
ARE,United Arab Emirates,2020-07-10,68.8151866885371
ARE,United Arab Emirates,2020-07-11,68.8151866885371
ARE,United Arab Emirates,2020-07-12,68.8151866885371
ARE,United Arab Emirates,2020-07-20,71.4474397173733
ARE,United Arab Emirates,2020-07-21,71.4474397173733
ARE,United Arab Emirates,2020-07-22,71.4474397173733
ARE,United Arab Emirates,2020-07-23,71.4474397173733
ARE,United Arab Emirates,2020-07-24,71.4474397173733
ARE,United Arab Emirates,2020-07-25,71.4474397173733
ARE,United Arab Emirates,2020-07-26,71.4474397173733
ARE,United Arab Emirates,2020-08-03,67.0122380489011
ARE,United Arab Emirates,2020-08-04,67.0122380489011
ARE,United Arab Emirates,2020-08-05,67.0122380489011
ARE,United Arab Emirates,2020-08-06,67.0122380489011
ARE,United Arab Emirates,2020-08-07,67.0122380489011
ARE,United Arab Emirates,2020-08-08,67.0122380489011
ARE,United Arab Emirates,2020-08-09,67.0122380489011
ARE,United Arab Emirates,2020-08-17,70.065515992049
ARE,United Arab Emirates,2020-08-18,70.065515992049
ARE,United Arab Emirates,2020-08-19,70.065515992049
ARE,United Arab Emirates,2020-08-20,70.065515992049
ARE,United Arab Emirates,2020-08-21,70.065515992049
ARE,United Arab Emirates,2020-08-22,70.065515992049
ARE,United Arab Emirates,2020-08-23,70.065515992049
ARE,United Arab Emirates,2020-08-31,68.2311327488537
ARE,United Arab Emirates,2020-09-01,68.2311327488537
ARE,United Arab Emirates,2020-09-02,68.2311327488537
ARE,United Arab Emirates,2020-09-03,68.2311327488537
ARE,United Arab Emirates,2020-09-04,68.2311327488537
ARE,United Arab Emirates,2020-09-05,68.2311327488537
ARE,United Arab Emirates,2020-09-06,68.2311327488537
ARE,United Arab Emirates,2020-09-14,65.8607917977117
ARE,United Arab Emirates,2020-09-15,65.8607917977117
ARE,United Arab Emirates,2020-09-16,65.8607917977117
ARE,United Arab Emirates,2020-09-17,65.8607917977117
ARE,United Arab Emirates,2020-09-18,65.8607917977117
ARE,United Arab Emirates,2020-09-19,65.8607917977117
ARE,United Arab Emirates,2020-09-20,65.8607917977117
AUS,Australia,2020-03-30,70.8644734938945
AUS,Australia,2020-03-31,70.8644734938945
AUS,Australia,2020-04-01,70.8644734938945
AUS,Australia,2020-04-02,70.8644734938945
AUS,Australia,2020-04-03,70.8644734938945
AUS,Australia,2020-04-04,70.8644734938945
AUS,Australia,2020-04-05,70.8644734938945
AUS,Australia,2020-04-06,77.241534407259
AUS,Australia,2020-04-07,77.241534407259
AUS,Australia,2020-04-08,77.241534407259
AUS,Australia,2020-04-09,77.241534407259
AUS,Australia,2020-04-10,77.241534407259
AUS,Australia,2020-04-11,77.241534407259
AUS,Australia,2020-04-12,77.241534407259
AUS,Australia,2020-04-13,72.2030579497091
AUS,Australia,2020-04-14,72.2030579497091
AUS,Australia,2020-04-15,72.2030579497091
AUS,Australia,2020-04-16,72.2030579497091
AUS,Australia,2020-04-17,72.2030579497091
AUS,Australia,2020-04-18,72.2030579497091
AUS,Australia,2020-04-19,72.2030579497091
AUS,Australia,2020-04-20,71.7061269538649
AUS,Australia,2020-04-21,71.7061269538649
AUS,Australia,2020-04-22,71.7061269538649
AUS,Australia,2020-04-23,71.7061269538649
AUS,Australia,2020-04-24,71.7061269538649
AUS,Australia,2020-04-25,71.7061269538649
AUS,Australia,2020-04-26,71.7061269538649
AUS,Australia,2020-04-27,69.2966591682818
AUS,Australia,2020-04-28,69.2966591682818
AUS,Australia,2020-04-29,69.2966591682818
AUS,Australia,2020-04-30,69.2966591682818
AUS,Australia,2020-05-01,69.2966591682818
AUS,Australia,2020-05-02,69.2966591682818
AUS,Australia,2020-05-03,69.2966591682818
AUS,Australia,2020-05-04,69.1670938776037
AUS,Australia,2020-05-05,69.1670938776037
AUS,Australia,2020-05-06,69.1670938776037
AUS,Australia,2020-05-07,69.1670938776037
AUS,Australia,2020-05-08,69.1670938776037
AUS,Australia,2020-05-09,69.1670938776037
AUS,Australia,2020-05-10,69.1670938776037
AUS,Australia,2020-05-11,60.8010088379967
AUS,Australia,2020-05-12,60.8010088379967
AUS,Australia,2020-05-13,60.8010088379967
AUS,Australia,2020-05-14,60.8010088379967
AUS,Australia,2020-05-15,60.8010088379967
AUS,Australia,2020-05-16,60.8010088379967
AUS,Australia,2020-05-17,60.8010088379967
AUS,Australia,2020-06-01,55.8131358785624
AUS,Australia,2020-06-02,55.8131358785624
AUS,Australia,2020-06-03,55.8131358785624
AUS,Australia,2020-06-04,55.8131358785624
AUS,Australia,2020-06-05,55.8131358785624
AUS,Australia,2020-06-06,55.8131358785624
AUS,Australia,2020-06-07,55.8131358785624
AUS,Australia,2020-06-08,57.143141887249
AUS,Australia,2020-06-09,57.143141887249
AUS,Australia,2020-06-10,57.143141887249
AUS,Australia,2020-06-11,57.143141887249
AUS,Australia,2020-06-12,57.143141887249
AUS,Australia,2020-06-13,57.143141887249
AUS,Australia,2020-06-14,57.143141887249
AUS,Australia,2020-06-22,50.139359635367
AUS,Australia,2020-06-23,50.139359635367
AUS,Australia,2020-06-24,50.139359635367
AUS,Australia,2020-06-25,50.139359635367
AUS,Australia,2020-06-26,50.139359635367
AUS,Australia,2020-06-27,50.139359635367
AUS,Australia,2020-06-28,50.139359635367
AUS,Australia,2020-07-06,53.1355897973396
AUS,Australia,2020-07-07,53.1355897973396
AUS,Australia,2020-07-08,53.1355897973396
AUS,Australia,2020-07-09,53.1355897973396
AUS,Australia,2020-07-10,53.1355897973396
AUS,Australia,2020-07-11,53.1355897973396
AUS,Australia,2020-07-12,53.1355897973396
AUS,Australia,2020-07-20,52.3832291043976
AUS,Australia,2020-07-21,52.3832291043976
AUS,Australia,2020-07-22,52.3832291043976
AUS,Australia,2020-07-23,52.3832291043976
AUS,Australia,2020-07-24,52.3832291043976
AUS,Australia,2020-07-25,52.3832291043976
AUS,Australia,2020-07-26,52.3832291043976
AUS,Australia,2020-08-03,57.0773506219911
AUS,Australia,2020-08-04,57.0773506219911
AUS,Australia,2020-08-05,57.0773506219911
AUS,Australia,2020-08-06,57.0773506219911
AUS,Australia,2020-08-07,57.0773506219911
AUS,Australia,2020-08-08,57.0773506219911
AUS,Australia,2020-08-09,57.0773506219911
AUS,Australia,2020-08-17,50.9443336353176
AUS,Australia,2020-08-18,50.9443336353176
AUS,Australia,2020-08-19,50.9443336353176
AUS,Australia,2020-08-20,50.9443336353176
AUS,Australia,2020-08-21,50.9443336353176
AUS,Australia,2020-08-22,50.9443336353176
AUS,Australia,2020-08-23,50.9443336353176
AUS,Australia,2020-08-31,52.0963318820567
AUS,Australia,2020-09-01,52.0963318820567
AUS,Australia,2020-09-02,52.0963318820567
AUS,Australia,2020-09-03,52.0963318820567
AUS,Australia,2020-09-04,52.0963318820567
AUS,Australia,2020-09-05,52.0963318820567
AUS,Australia,2020-09-06,52.0963318820567
AUS,Australia,2020-09-14,48.1071337494971
AUS,Australia,2020-09-15,48.1071337494971
AUS,Australia,2020-09-16,48.1071337494971
AUS,Australia,2020-09-17,48.1071337494971
AUS,Australia,2020-09-18,48.1071337494971
