iso_code,country,date,owid_population
ABW,Aruba,2020-08-16,106766.0
ABW,Aruba,2020-08-17,106766.0
ABW,Aruba,2020-08-18,106766.0
ABW,Aruba,2020-08-19,106766.0
ABW,Aruba,2020-08-20,106766.0
ABW,Aruba,2020-08-21,106766.0
ABW,Aruba,2020-08-22,106766.0
ABW,Aruba,2020-08-23,106766.0
ABW,Aruba,2020-08-24,106766.0
ABW,Aruba,2020-08-25,106766.0
ABW,Aruba,2020-08-26,106766.0
ABW,Aruba,2020-08-27,106766.0
ABW,Aruba,2020-08-28,106766.0
ABW,Aruba,2020-08-29,106766.0
ABW,Aruba,2020-08-30,106766.0
ABW,Aruba,2020-08-31,106766.0
ABW,Aruba,2020-09-01,106766.0
ABW,Aruba,2020-09-02,106766.0
ABW,Aruba,2020-09-03,106766.0
ABW,Aruba,2020-09-04,106766.0
ABW,Aruba,2020-09-05,106766.0
ABW,Aruba,2020-09-06,106766.0
ABW,Aruba,2020-09-07,106766.0
ABW,Aruba,2020-09-08,106766.0
ABW,Aruba,2020-09-09,106766.0
ABW,Aruba,2020-09-10,106766.0
AFG,Afghanistan,2019-12-31,38928341.0
AFG,Afghanistan,2020-01-01,38928341.0
AFG,Afghanistan,2020-01-02,38928341.0
AFG,Afghanistan,2020-01-03,38928341.0
AFG,Afghanistan,2020-01-04,38928341.0
AFG,Afghanistan,2020-01-05,38928341.0
AFG,Afghanistan,2020-01-06,38928341.0
AFG,Afghanistan,2020-01-07,38928341.0
AFG,Afghanistan,2020-01-08,38928341.0
AFG,Afghanistan,2020-01-09,38928341.0
AFG,Afghanistan,2020-01-10,38928341.0
AFG,Afghanistan,2020-01-11,38928341.0
AFG,Afghanistan,2020-01-12,38928341.0
AFG,Afghanistan,2020-01-13,38928341.0
AFG,Afghanistan,2020-01-14,38928341.0
AFG,Afghanistan,2020-01-15,38928341.0
AFG,Afghanistan,2020-01-16,38928341.0
AFG,Afghanistan,2020-01-17,38928341.0
AFG,Afghanistan,2020-01-18,38928341.0
AFG,Afghanistan,2020-01-19,38928341.0
AFG,Afghanistan,2020-01-20,38928341.0
AFG,Afghanistan,2020-01-21,38928341.0
AFG,Afghanistan,2020-01-22,38928341.0
AFG,Afghanistan,2020-01-23,38928341.0
AFG,Afghanistan,2020-01-24,38928341.0
AFG,Afghanistan,2020-01-25,38928341.0
AFG,Afghanistan,2020-01-26,38928341.0
AFG,Afghanistan,2020-01-27,38928341.0
AFG,Afghanistan,2020-01-28,38928341.0
AFG,Afghanistan,2020-01-29,38928341.0
AFG,Afghanistan,2020-01-30,38928341.0
AFG,Afghanistan,2020-01-31,38928341.0
AFG,Afghanistan,2020-02-01,38928341.0
AFG,Afghanistan,2020-02-02,38928341.0
AFG,Afghanistan,2020-02-03,38928341.0
AFG,Afghanistan,2020-02-04,38928341.0
AFG,Afghanistan,2020-02-05,38928341.0
AFG,Afghanistan,2020-02-06,38928341.0
AFG,Afghanistan,2020-02-07,38928341.0
AFG,Afghanistan,2020-02-08,38928341.0
AFG,Afghanistan,2020-02-09,38928341.0
AFG,Afghanistan,2020-02-10,38928341.0
AFG,Afghanistan,2020-02-11,38928341.0
AFG,Afghanistan,2020-02-12,38928341.0
AFG,Afghanistan,2020-02-13,38928341.0
AFG,Afghanistan,2020-02-14,38928341.0
AFG,Afghanistan,2020-02-15,38928341.0
AFG,Afghanistan,2020-02-16,38928341.0
AFG,Afghanistan,2020-02-17,38928341.0
AFG,Afghanistan,2020-02-18,38928341.0
AFG,Afghanistan,2020-02-19,38928341.0
AFG,Afghanistan,2020-02-20,38928341.0
AFG,Afghanistan,2020-02-21,38928341.0
AFG,Afghanistan,2020-02-22,38928341.0
AFG,Afghanistan,2020-02-23,38928341.0
AFG,Afghanistan,2020-02-24,38928341.0
AFG,Afghanistan,2020-02-25,38928341.0
AFG,Afghanistan,2020-02-26,38928341.0
AFG,Afghanistan,2020-02-27,38928341.0
AFG,Afghanistan,2020-02-28,38928341.0
AFG,Afghanistan,2020-02-29,38928341.0
AFG,Afghanistan,2020-03-01,38928341.0
AFG,Afghanistan,2020-03-02,38928341.0
AFG,Afghanistan,2020-03-03,38928341.0
AFG,Afghanistan,2020-03-04,38928341.0
AFG,Afghanistan,2020-03-05,38928341.0
AFG,Afghanistan,2020-03-06,38928341.0
AFG,Afghanistan,2020-03-07,38928341.0
AFG,Afghanistan,2020-03-08,38928341.0
AFG,Afghanistan,2020-03-09,38928341.0
AFG,Afghanistan,2020-03-10,38928341.0
AFG,Afghanistan,2020-03-11,38928341.0
AFG,Afghanistan,2020-03-12,38928341.0
AFG,Afghanistan,2020-03-13,38928341.0
AFG,Afghanistan,2020-03-14,38928341.0
AFG,Afghanistan,2020-03-15,38928341.0
AFG,Afghanistan,2020-03-16,38928341.0
AFG,Afghanistan,2020-03-17,38928341.0
AFG,Afghanistan,2020-03-18,38928341.0
AFG,Afghanistan,2020-03-19,38928341.0
AFG,Afghanistan,2020-03-20,38928341.0
AFG,Afghanistan,2020-03-21,38928341.0
AFG,Afghanistan,2020-03-22,38928341.0
AFG,Afghanistan,2020-03-23,38928341.0
AFG,Afghanistan,2020-03-24,38928341.0
AFG,Afghanistan,2020-03-25,38928341.0
AFG,Afghanistan,2020-03-26,38928341.0
AFG,Afghanistan,2020-03-27,38928341.0
AFG,Afghanistan,2020-03-28,38928341.0
AFG,Afghanistan,2020-03-29,38928341.0
AFG,Afghanistan,2020-03-30,38928341.0
AFG,Afghanistan,2020-03-31,38928341.0
AFG,Afghanistan,2020-04-01,38928341.0
AFG,Afghanistan,2020-04-02,38928341.0
AFG,Afghanistan,2020-04-03,38928341.0
AFG,Afghanistan,2020-04-04,38928341.0
AFG,Afghanistan,2020-04-05,38928341.0
AFG,Afghanistan,2020-04-06,38928341.0
AFG,Afghanistan,2020-04-07,38928341.0
AFG,Afghanistan,2020-04-08,38928341.0
AFG,Afghanistan,2020-04-09,38928341.0
