country,indicator,date,value
AFG,jhu-deaths,2020-06-02,270
AFG,jhu-deaths,2020-06-03,294
AFG,jhu-deaths,2020-06-04,300
AFG,jhu-deaths,2020-06-05,309
AFG,jhu-deaths,2020-06-06,327
AFG,jhu-deaths,2020-06-07,357
AFG,jhu-deaths,2020-06-08,369
AFG,jhu-deaths,2020-06-09,384
AFG,jhu-deaths,2020-06-10,405
AFG,jhu-deaths,2020-06-11,426
AFG,jhu-deaths,2020-06-12,446
AFG,jhu-deaths,2020-06-13,451
AFG,jhu-deaths,2020-06-14,471
AFG,jhu-deaths,2020-06-15,478
AFG,jhu-deaths,2020-06-16,491
AFG,jhu-deaths,2020-06-17,504
AFG,jhu-deaths,2020-06-18,546
AFG,jhu-deaths,2020-06-19,548
AFG,jhu-deaths,2020-06-20,569
AFG,jhu-deaths,2020-06-21,581
AFG,jhu-deaths,2020-06-22,598
AFG,jhu-deaths,2020-06-23,618
AFG,jhu-deaths,2020-06-24,639
AFG,jhu-deaths,2020-06-25,675
AFG,jhu-deaths,2020-06-26,683
AFG,jhu-deaths,2020-06-27,703
AFG,jhu-deaths,2020-06-28,721
AFG,jhu-deaths,2020-06-29,733
AFG,jhu-deaths,2020-06-30,746
AFG,jhu-deaths,2020-07-01,774
AFG,jhu-deaths,2020-07-02,807
AFG,jhu-deaths,2020-07-03,819
AFG,jhu-deaths,2020-07-04,826
AFG,jhu-deaths,2020-07-05,864
AFG,jhu-deaths,2020-07-06,898
AFG,jhu-deaths,2020-07-07,920
AFG,jhu-deaths,2020-07-08,936
AFG,jhu-deaths,2020-07-09,957
AFG,jhu-deaths,2020-07-10,971
AFG,jhu-deaths,2020-07-11,994
AFG,jhu-deaths,2020-07-12,1010
AFG,jhu-deaths,2020-07-13,1012
AFG,jhu-deaths,2020-07-14,1048
AFG,jhu-deaths,2020-07-15,1094
AFG,jhu-deaths,2020-07-16,1113
AFG,jhu-deaths,2020-07-17,1147
AFG,jhu-deaths,2020-07-18,1164
AFG,jhu-deaths,2020-07-19,1181
AFG,jhu-deaths,2020-07-20,1185
AFG,jhu-deaths,2020-07-21,1186
AFG,jhu-deaths,2020-07-22,1190
AFG,jhu-deaths,2020-07-23,1211
AFG,jhu-deaths,2020-07-24,1225
AFG,jhu-deaths,2020-07-25,1248
AGO,jhu-deaths,2020-01-22,0
AGO,jhu-deaths,2020-01-23,0
AGO,jhu-deaths,2020-01-24,0
AGO,jhu-deaths,2020-01-25,0
AGO,jhu-deaths,2020-01-26,0
AGO,jhu-deaths,2020-01-27,0
AGO,jhu-deaths,2020-01-28,0
AGO,jhu-deaths,2020-01-29,0
AGO,jhu-deaths,2020-01-30,0
AGO,jhu-deaths,2020-01-31,0
AGO,jhu-deaths,2020-02-01,0
AGO,jhu-deaths,2020-02-02,0
AGO,jhu-deaths,2020-02-03,0
AGO,jhu-deaths,2020-02-04,0
AGO,jhu-deaths,2020-02-05,0
AGO,jhu-deaths,2020-02-06,0
AGO,jhu-deaths,2020-02-07,0
AGO,jhu-deaths,2020-02-08,0
AGO,jhu-deaths,2020-02-09,0
AGO,jhu-deaths,2020-02-10,0
AGO,jhu-deaths,2020-02-11,0
AGO,jhu-deaths,2020-02-12,0
AGO,jhu-deaths,2020-02-13,0
AGO,jhu-deaths,2020-02-14,0
AGO,jhu-deaths,2020-02-15,0
AGO,jhu-deaths,2020-02-16,0
AGO,jhu-deaths,2020-02-17,0
AGO,jhu-deaths,2020-02-18,0
AGO,jhu-deaths,2020-02-19,0
AGO,jhu-deaths,2020-02-20,0
AGO,jhu-deaths,2020-02-21,0
AGO,jhu-deaths,2020-02-22,0
AGO,jhu-deaths,2020-02-23,0
AGO,jhu-deaths,2020-02-24,0
AGO,jhu-deaths,2020-02-25,0
AGO,jhu-deaths,2020-02-26,0
AGO,jhu-deaths,2020-02-27,0
AGO,jhu-deaths,2020-02-28,0
AGO,jhu-deaths,2020-02-29,0
AGO,jhu-deaths,2020-03-01,0
AGO,jhu-deaths,2020-03-02,0
AGO,jhu-deaths,2020-03-03,0
AGO,jhu-deaths,2020-03-04,0
AGO,jhu-deaths,2020-03-05,0
AGO,jhu-deaths,2020-03-06,0
AGO,jhu-deaths,2020-03-07,0
AGO,jhu-deaths,2020-03-08,0
AGO,jhu-deaths,2020-03-09,0
AGO,jhu-deaths,2020-03-10,0
AGO,jhu-deaths,2020-03-11,0
AGO,jhu-deaths,2020-03-12,0
AGO,jhu-deaths,2020-03-13,0
AGO,jhu-deaths,2020-03-14,0
AGO,jhu-deaths,2020-03-15,0
AGO,jhu-deaths,2020-03-16,0
AGO,jhu-deaths,2020-03-17,0
AGO,jhu-deaths,2020-03-18,0
AGO,jhu-deaths,2020-03-19,0
AGO,jhu-deaths,2020-03-20,0
AGO,jhu-deaths,2020-03-21,0
AGO,jhu-deaths,2020-03-22,0
AGO,jhu-deaths,2020-03-23,0
AGO,jhu-deaths,2020-03-24,0
AGO,jhu-deaths,2020-03-25,0
AGO,jhu-deaths,2020-03-26,0
AGO,jhu-deaths,2020-03-27,0
AGO,jhu-deaths,2020-03-28,0
AGO,jhu-deaths,2020-03-29,2
AGO,jhu-deaths,2020-03-30,2
AGO,jhu-deaths,2020-03-31,2
AGO,jhu-deaths,2020-04-01,2
AGO,jhu-deaths,2020-04-02,2
AGO,jhu-deaths,2020-04-03,2
AGO,jhu-deaths,2020-04-04,2
AGO,jhu-deaths,2020-04-05,2
AGO,jhu-deaths,2020-04-06,2
AGO,jhu-deaths,2020-04-07,2
AGO,jhu-deaths,2020-04-08,2
AGO,jhu-deaths,2020-04-09,2
AGO,jhu-deaths,2020-04-10,2
AGO,jhu-deaths,2020-04-11,2
AGO,jhu-deaths,2020-04-12,2
AGO,jhu-deaths,2020-04-13,2
AGO,jhu-deaths,2020-04-14,2
AGO,jhu-deaths,2020-04-15,2
AGO,jhu-deaths,2020-04-16,2
AGO,jhu-deaths,2020-04-17,2
AGO,jhu-deaths,2020-04-18,2
AGO,jhu-deaths,2020-04-19,2
AGO,jhu-deaths,2020-04-20,2
AGO,jhu-deaths,2020-04-21,2
AGO,jhu-deaths,2020-04-22,2
AGO,jhu-deaths,2020-04-23,2
AGO,jhu-deaths,2020-04-24,2
AGO,jhu-deaths,2020-04-25,2
AGO,jhu-deaths,2020-04-26,2
AGO,jhu-deaths,2020-04-27,2
