iso_code,country,date,owid_cardiovasc_death_rate
AFG,Afghanistan,2020-05-23,597.029
AFG,Afghanistan,2020-05-24,597.029
AFG,Afghanistan,2020-05-25,597.029
AFG,Afghanistan,2020-05-26,597.029
AFG,Afghanistan,2020-05-27,597.029
AFG,Afghanistan,2020-05-28,597.029
AFG,Afghanistan,2020-05-29,597.029
AFG,Afghanistan,2020-05-30,597.029
AFG,Afghanistan,2020-05-31,597.029
AFG,Afghanistan,2020-06-01,597.029
AFG,Afghanistan,2020-06-02,597.029
AFG,Afghanistan,2020-06-03,597.029
AFG,Afghanistan,2020-06-04,597.029
AFG,Afghanistan,2020-06-05,597.029
AFG,Afghanistan,2020-06-06,597.029
AFG,Afghanistan,2020-06-07,597.029
AFG,Afghanistan,2020-06-08,597.029
AFG,Afghanistan,2020-06-09,597.029
AFG,Afghanistan,2020-06-10,597.029
AFG,Afghanistan,2020-06-11,597.029
AFG,Afghanistan,2020-06-12,597.029
AFG,Afghanistan,2020-06-13,597.029
AFG,Afghanistan,2020-06-14,597.029
AFG,Afghanistan,2020-06-15,597.029
AFG,Afghanistan,2020-06-16,597.029
AFG,Afghanistan,2020-06-17,597.029
AFG,Afghanistan,2020-06-18,597.029
AFG,Afghanistan,2020-06-19,597.029
AFG,Afghanistan,2020-06-20,597.029
AFG,Afghanistan,2020-06-21,597.029
AFG,Afghanistan,2020-06-22,597.029
AFG,Afghanistan,2020-06-23,597.029
AFG,Afghanistan,2020-06-24,597.029
AFG,Afghanistan,2020-06-25,597.029
AFG,Afghanistan,2020-06-26,597.029
AFG,Afghanistan,2020-06-27,597.029
AFG,Afghanistan,2020-06-28,597.029
AFG,Afghanistan,2020-06-29,597.029
AFG,Afghanistan,2020-06-30,597.029
AFG,Afghanistan,2020-07-01,597.029
AFG,Afghanistan,2020-07-02,597.029
AFG,Afghanistan,2020-07-03,597.029
AFG,Afghanistan,2020-07-04,597.029
AFG,Afghanistan,2020-07-05,597.029
AFG,Afghanistan,2020-07-06,597.029
AFG,Afghanistan,2020-07-07,597.029
AFG,Afghanistan,2020-07-08,597.029
AFG,Afghanistan,2020-07-09,597.029
AFG,Afghanistan,2020-07-10,597.029
AFG,Afghanistan,2020-07-11,597.029
AFG,Afghanistan,2020-07-12,597.029
AFG,Afghanistan,2020-07-13,597.029
AFG,Afghanistan,2020-07-14,597.029
AFG,Afghanistan,2020-07-15,597.029
AFG,Afghanistan,2020-07-16,597.029
AFG,Afghanistan,2020-07-17,597.029
AFG,Afghanistan,2020-07-18,597.029
AFG,Afghanistan,2020-07-19,597.029
AFG,Afghanistan,2020-07-20,597.029
AFG,Afghanistan,2020-07-21,597.029
AFG,Afghanistan,2020-07-22,597.029
AFG,Afghanistan,2020-07-23,597.029
AFG,Afghanistan,2020-07-24,597.029
AFG,Afghanistan,2020-07-25,597.029
AFG,Afghanistan,2020-07-26,597.029
AFG,Afghanistan,2020-07-27,597.029
AFG,Afghanistan,2020-07-28,597.029
AFG,Afghanistan,2020-07-29,597.029
AFG,Afghanistan,2020-07-30,597.029
AFG,Afghanistan,2020-07-31,597.029
AFG,Afghanistan,2020-08-01,597.029
AFG,Afghanistan,2020-08-02,597.029
AFG,Afghanistan,2020-08-03,597.029
AFG,Afghanistan,2020-08-04,597.029
AFG,Afghanistan,2020-08-05,597.029
AFG,Afghanistan,2020-08-06,597.029
AFG,Afghanistan,2020-08-07,597.029
AFG,Afghanistan,2020-08-08,597.029
AFG,Afghanistan,2020-08-09,597.029
AFG,Afghanistan,2020-08-10,597.029
AFG,Afghanistan,2020-08-11,597.029
AFG,Afghanistan,2020-08-12,597.029
AFG,Afghanistan,2020-08-13,597.029
AFG,Afghanistan,2020-08-14,597.029
AFG,Afghanistan,2020-08-15,597.029
AFG,Afghanistan,2020-08-16,597.029
AFG,Afghanistan,2020-08-17,597.029
AFG,Afghanistan,2020-08-18,597.029
AFG,Afghanistan,2020-08-19,597.029
AFG,Afghanistan,2020-08-20,597.029
AFG,Afghanistan,2020-08-21,597.029
AFG,Afghanistan,2020-08-22,597.029
AFG,Afghanistan,2020-08-23,597.029
AFG,Afghanistan,2020-08-24,597.029
AFG,Afghanistan,2020-08-25,597.029
AFG,Afghanistan,2020-08-26,597.029
AFG,Afghanistan,2020-08-27,597.029
AFG,Afghanistan,2020-08-28,597.029
AFG,Afghanistan,2020-08-29,597.029
AFG,Afghanistan,2020-08-30,597.029
AFG,Afghanistan,2020-08-31,597.029
AFG,Afghanistan,2020-09-01,597.029
AFG,Afghanistan,2020-09-02,597.029
AFG,Afghanistan,2020-09-03,597.029
AFG,Afghanistan,2020-09-04,597.029
AFG,Afghanistan,2020-09-05,597.029
AFG,Afghanistan,2020-09-06,597.029
AFG,Afghanistan,2020-09-07,597.029
AFG,Afghanistan,2020-09-08,597.029
AFG,Afghanistan,2020-09-09,597.029
AFG,Afghanistan,2020-09-10,597.029
AFG,Afghanistan,2020-09-11,597.029
AFG,Afghanistan,2020-09-12,597.029
AFG,Afghanistan,2020-09-13,597.029
AFG,Afghanistan,2020-09-14,597.029
AFG,Afghanistan,2020-09-15,597.029
AFG,Afghanistan,2020-09-16,597.029
AFG,Afghanistan,2020-09-17,597.029
AFG,Afghanistan,2020-09-18,597.029
AFG,Afghanistan,2020-09-19,597.029
AFG,Afghanistan,2020-09-20,597.029
AFG,Afghanistan,2020-09-21,597.029
AFG,Afghanistan,2020-09-22,597.029
AFG,Afghanistan,2020-09-23,597.029
AFG,Afghanistan,2020-09-24,597.029
AFG,Afghanistan,2020-09-25,597.029
AFG,Afghanistan,2020-09-26,597.029
AFG,Afghanistan,2020-09-27,597.029
AFG,Afghanistan,2020-09-28,597.029
AFG,Afghanistan,2020-09-29,597.029
AFG,Afghanistan,2020-09-30,597.029
AGO,Angola,2020-03-22,276.045
AGO,Angola,2020-03-23,276.045
AGO,Angola,2020-03-24,276.045
AGO,Angola,2020-03-25,276.045
AGO,Angola,2020-03-26,276.045
AGO,Angola,2020-03-27,276.045
AGO,Angola,2020-03-28,276.045
AGO,Angola,2020-03-29,276.045
AGO,Angola,2020-03-30,276.045
AGO,Angola,2020-03-31,276.045
AGO,Angola,2020-04-01,276.045
AGO,Angola,2020-04-02,276.045
AGO,Angola,2020-04-03,276.045
AGO,Angola,2020-04-04,276.045
AGO,Angola,2020-04-05,276.045
AGO,Angola,2020-04-06,276.045
AGO,Angola,2020-04-07,276.045
AGO,Angola,2020-04-08,276.045
AGO,Angola,2020-04-09,276.045
AGO,Angola,2020-04-10,276.045
AGO,Angola,2020-04-11,276.045
AGO,Angola,2020-04-12,276.045
AGO,Angola,2020-04-13,276.045
AGO,Angola,2020-04-14,276.045
AGO,Angola,2020-04-15,276.045
AGO,Angola,2020-04-16,276.045
AGO,Angola,2020-04-17,276.045
AGO,Angola,2020-04-18,276.045
AGO,Angola,2020-04-19,276.045
AGO,Angola,2020-04-20,276.045
AGO,Angola,2020-04-21,276.045
AGO,Angola,2020-04-22,276.045
AGO,Angola,2020-04-23,276.045
AGO,Angola,2020-04-24,276.045
AGO,Angola,2020-04-25,276.045
AGO,Angola,2020-04-26,276.045
AGO,Angola,2020-04-27,276.045
AGO,Angola,2020-04-28,276.045
AGO,Angola,2020-04-29,276.045
AGO,Angola,2020-04-30,276.045
AGO,Angola,2020-05-01,276.045
AGO,Angola,2020-05-02,276.045
AGO,Angola,2020-05-03,276.045
AGO,Angola,2020-05-04,276.045
AGO,Angola,2020-05-05,276.045
AGO,Angola,2020-05-06,276.045
AGO,Angola,2020-05-07,276.045
AGO,Angola,2020-05-08,276.045
AGO,Angola,2020-05-09,276.045
AGO,Angola,2020-05-10,276.045
AGO,Angola,2020-05-11,276.045
AGO,Angola,2020-05-12,276.045
AGO,Angola,2020-05-13,276.045
AGO,Angola,2020-05-14,276.045
AGO,Angola,2020-05-15,276.045
AGO,Angola,2020-05-16,276.045
AGO,Angola,2020-05-17,276.045
AGO,Angola,2020-05-18,276.045
AGO,Angola,2020-05-19,276.045
AGO,Angola,2020-05-20,276.045
AGO,Angola,2020-05-21,276.045
