iso_code,country,date,ox_stringency_legacy_index
VNM,Vietnam,2020-12-19,63.1
VNM,Vietnam,2020-12-20,63.1
VNM,Vietnam,2020-12-21,63.1
VNM,Vietnam,2020-12-22,63.1
VNM,Vietnam,2020-12-23,63.1
VNM,Vietnam,2020-12-24,63.1
VNM,Vietnam,2020-12-25,63.1
VNM,Vietnam,2020-12-26,63.1
VNM,Vietnam,2020-12-27,63.1
VNM,Vietnam,2020-12-28,63.1
VNM,Vietnam,2020-12-29,63.1
VNM,Vietnam,2020-12-30,63.1
VNM,Vietnam,2020-12-31,63.1
VNM,Vietnam,2021-01-01,63.1
VNM,Vietnam,2021-01-02,63.1
VNM,Vietnam,2021-01-03,63.1
VNM,Vietnam,2021-01-04,63.1
VNM,Vietnam,2021-01-05,65.0
VNM,Vietnam,2021-01-06,65.0
VNM,Vietnam,2021-01-07,65.0
VNM,Vietnam,2021-01-08,65.0
VNM,Vietnam,2021-01-09,65.0
VNM,Vietnam,2021-01-10,65.0
VNM,Vietnam,2021-01-11,65.0
VNM,Vietnam,2021-01-12,65.0
VNM,Vietnam,2021-01-13,65.0
VNM,Vietnam,2021-01-14,65.0
VNM,Vietnam,2021-01-15,65.0
VNM,Vietnam,2021-01-16,65.0
VNM,Vietnam,2021-01-17,65.0
VNM,Vietnam,2021-01-18,65.0
VNM,Vietnam,2021-01-19,65.0
VNM,Vietnam,2021-01-20,65.0
VNM,Vietnam,2021-01-21,65.0
VNM,Vietnam,2021-01-22,65.0
VNM,Vietnam,2021-01-23,65.0
VNM,Vietnam,2021-01-24,65.0
VNM,Vietnam,2021-01-25,65.0
VNM,Vietnam,2021-01-26,76.9
VNM,Vietnam,2021-01-27,76.9
VNM,Vietnam,2021-01-28,76.9
VNM,Vietnam,2021-01-29,76.9
VNM,Vietnam,2021-01-30,76.9
