iso_code,country,date,marioli_ci_95_u
AFG,Afghanistan,2020-03-29,1.85865753363678
AFG,Afghanistan,2020-03-30,1.8488175348672948
AFG,Afghanistan,2020-03-31,1.8487312339504884
AFG,Afghanistan,2020-04-01,1.8338516434680503
AFG,Afghanistan,2020-04-02,1.818057502604732
AFG,Afghanistan,2020-04-03,1.8014793635868536
AFG,Afghanistan,2020-04-04,1.7893146616168083
AFG,Afghanistan,2020-04-05,1.781280893602179
AFG,Afghanistan,2020-04-06,1.7760369925851776
AFG,Afghanistan,2020-04-07,1.7669489027796217
AFG,Afghanistan,2020-04-08,1.758554522162446
AFG,Afghanistan,2020-04-09,1.7555674423357224
AFG,Afghanistan,2020-04-10,1.7531734482554129
AFG,Afghanistan,2020-04-11,1.7481509071690349
AFG,Afghanistan,2020-04-12,1.7510218802246882
AFG,Afghanistan,2020-04-13,1.7502841085613556
AFG,Afghanistan,2020-04-14,1.7492200218863303
AFG,Afghanistan,2020-04-15,1.7430872416803729
AFG,Afghanistan,2020-04-16,1.7390659654952034
AFG,Afghanistan,2020-04-17,1.7341097872010571
AFG,Afghanistan,2020-04-18,1.738833591665097
AFG,Afghanistan,2020-04-19,1.739301721483455
AFG,Afghanistan,2020-04-20,1.7447449263562151
AFG,Afghanistan,2020-04-21,1.751648112782242
AFG,Afghanistan,2020-04-22,1.760045488717123
AFG,Afghanistan,2020-04-23,1.7782127325158763
AFG,Afghanistan,2020-04-24,1.7871130915304565
AFG,Afghanistan,2020-04-25,1.8081532733769008
AFG,Afghanistan,2020-04-26,1.8244071356216487
AFG,Afghanistan,2020-04-27,1.8347429100489672
AFG,Afghanistan,2020-04-28,1.8448522299253285
AFG,Afghanistan,2020-04-29,1.8482691456377776
AFG,Afghanistan,2020-04-30,1.8619573259780344
AFG,Afghanistan,2020-05-01,1.88526282160522
AFG,Afghanistan,2020-05-02,1.8863977672474737
AFG,Afghanistan,2020-05-03,1.8771571118301031
AFG,Afghanistan,2020-05-04,1.8845730887039835
AFG,Afghanistan,2020-05-05,1.900378900655158
AFG,Afghanistan,2020-05-06,1.9333579152673952
AFG,Afghanistan,2020-05-07,1.9100260541169345
AFG,Afghanistan,2020-05-08,1.8843071252803016
AFG,Afghanistan,2020-05-09,1.8796980918415205
AFG,Afghanistan,2020-05-10,1.8770654094615056
AFG,Afghanistan,2020-05-11,1.839088373652236
AFG,Afghanistan,2020-05-12,1.8100492590196424
AFG,Afghanistan,2020-05-13,1.782099136327599
AFG,Afghanistan,2020-05-14,1.7717844123580648
AFG,Afghanistan,2020-05-15,1.7612472765735872
AFG,Afghanistan,2020-05-16,1.7424129791639502
AFG,Afghanistan,2020-05-17,1.7193984465589736
AFG,Afghanistan,2020-05-18,1.7050346867507653
AFG,Afghanistan,2020-05-19,1.6899903386913335
AFG,Afghanistan,2020-05-20,1.6655153088036994
AFG,Afghanistan,2020-05-21,1.6500964002221608
AFG,Afghanistan,2020-05-22,1.6326812554961796
AFG,Afghanistan,2020-05-23,1.618020309319275
AFG,Afghanistan,2020-05-24,1.5991165720886285
AFG,Afghanistan,2020-05-25,1.5755641845780348
AFG,Afghanistan,2020-05-26,1.5550381599798142
AFG,Afghanistan,2020-05-27,1.529210634998544
AFG,Afghanistan,2020-05-28,1.515076231738526
AFG,Afghanistan,2020-05-29,1.4991493202324024
AFG,Afghanistan,2020-05-30,1.4828233776813242
AFG,Afghanistan,2020-05-31,1.4658697878605529
AFG,Afghanistan,2020-06-01,1.447134025455704
AFG,Afghanistan,2020-06-02,1.43253048479982
AFG,Afghanistan,2020-06-03,1.4129171720152285
AFG,Afghanistan,2020-06-04,1.395773724074456
AFG,Afghanistan,2020-06-05,1.3804462775426898
AFG,Afghanistan,2020-06-06,1.3643467407364722
AFG,Afghanistan,2020-06-07,1.3466762981720215
AFG,Afghanistan,2020-06-08,1.3277006649522052
AFG,Afghanistan,2020-06-09,1.3092231319367025
AFG,Afghanistan,2020-06-10,1.2979174920462264
AFG,Afghanistan,2020-06-11,1.2850517895491045
AFG,Afghanistan,2020-06-12,1.2682787056325544
AFG,Afghanistan,2020-06-13,1.2541584769108611
AFG,Afghanistan,2020-06-14,1.2380324868551769
AFG,Afghanistan,2020-06-15,1.226717555871142
AFG,Afghanistan,2020-06-16,1.209897166838424
